Muestra,Valor
35,113
36,111
37,111
38,110
39,113
40,112
41,112
42,113
43,111
44,112
45,111
46,114
47,114
48,111
49,110
50,113
51,115
52,111
53,114
54,113
55,112
56,115
57,113
58,114
59,110
60,112
61,116
62,112
63,109
64,113
65,113
66,115
67,113
68,114
69,111
70,115
71,112
72,115
73,111
74,112
75,111
76,114
77,110
78,111
79,115
80,111
81,114
82,110
83,112
84,114
85,110
86,112
87,111
88,114
89,112
90,111
91,113
92,114
93,111
94,113
95,113
96,112
97,111
98,112
99,113
100,111
101,116
102,110
103,111
104,110
105,113
106,111
107,112
108,115
109,111
110,112
111,112
112,114
113,114
114,111
115,113
116,112
117,111
118,110
119,112
120,112
121,112
122,114
123,111
124,111
125,116
126,113
127,116
128,112
129,113
130,111
131,112
132,113
133,112
134,115
135,111
136,115
137,113
138,112
139,111
140,113
141,113
142,113
143,112
144,113
145,114
146,113
147,114
148,116
149,113
150,114
151,114
152,115
153,114
154,117
155,114
156,114
157,112
158,112
159,113
160,115
161,113
162,109
163,111
164,112
165,109
166,113
167,116
168,113
169,112
170,115
171,111
172,109
173,114
174,111
175,111
176,116
177,114
178,111
179,115
180,112
181,111
182,116
183,115
184,115
185,112
186,114
187,111
188,114
189,111
190,114
191,113
192,111
193,111
194,112
195,110
196,114
197,113
198,114
199,109
200,111
201,114
202,110
203,114
204,112
205,114
206,112
207,112
208,113
209,113
210,112
211,110
212,113
213,112
214,114
215,111
216,112
217,112
218,117
219,112
220,114
221,115
222,111
223,113
224,113
225,114
226,116
227,111
228,112
229,114
230,115
231,112
232,113
233,113
234,114
235,115
236,115
237,113
238,116
239,114
240,115
241,117
242,110
243,113
244,110
245,112
246,110
247,115
248,114
249,113
250,112
251,114
252,113
253,110
254,111
255,113
256,113
257,115
258,113
259,111
260,112
261,113
262,112
263,111
264,114
265,115
266,112
267,110
268,108
269,111
270,114
271,112
272,115
273,111
274,112
275,113
276,113
277,110
278,110
279,114
280,112
281,111
282,114
283,112
284,109
285,113
286,113
287,113
288,111
289,112
290,114
291,110
292,114
293,113
294,111
295,113
296,115
297,112
298,114
299,113
300,113
301,111
302,111
303,113
304,112
305,113
306,112
307,114
308,112
309,112
310,111
311,112
312,109
313,112
314,114
315,112
316,112
317,112
318,111
319,110
320,114
321,116
322,113
323,117
324,115
325,130
326,112
327,313
328,140
329,464
330,118
331,169
332,119
333,2613
334,118
335,344
336,3011
337,114
338,513
339,131
340,1233
341,964
342,154
343,285
344,559
345,129
346,391
347,317
348,141
349,130
350,180
351,115
352,708
353,113
354,336
355,117
356,116
357,117
358,684
359,116
360,221
361,170
362,132
363,609
364,299
365,123
366,111
367,113
368,113
369,113
370,117
371,110
372,113
373,116
374,113
375,114
376,117
377,113
378,112
379,110
380,113
381,115
382,111
383,114
384,113
385,110
386,108
387,112
388,114
389,113
390,111
391,114
392,112
393,111
394,110
395,112
396,112
397,113
398,113
399,114
400,113
401,112
402,112
403,116
404,113
405,115
406,111
407,111
408,113
409,114
410,110
411,113
412,110
413,111
414,110
415,114
416,113
417,110
418,115
419,113
420,112
421,110
422,111
423,114
424,111
425,112
426,115
427,112
428,111
429,114
430,109
431,113
432,112
433,115
434,111
435,112
436,111
437,112
438,111
439,113
440,111
441,107
442,115
443,115
444,111
445,113
446,112
447,113
448,115
449,114
450,138
451,268
452,126
453,1693
454,120
455,304
456,2332
457,125
458,2139
459,5305
460,137
461,1222
462,1449
463,354
464,353
465,1062
466,202
467,382
468,326
469,351
470,1542
471,1803
472,336
473,144
474,215
475,192
476,179
477,122
478,259
479,135
480,280
481,137
482,236
483,644
484,128
485,888
486,425
487,184
488,119
489,1406
490,449
491,122
492,127
493,346
494,144
495,112
496,114
497,111
498,111
499,113
500,113
501,114
502,113
503,114
504,114
505,110
506,114
507,116
508,116
509,112
510,111
511,113
512,112
513,110
514,111
515,114
516,114
517,113
518,110
519,112
520,113
521,114
522,116
523,112
524,113
525,113
526,111
527,115
528,114
529,112
530,117
531,113
532,113
533,113
534,114
535,112
536,111
537,114
538,114
539,109
540,112
541,115
542,114
543,112
544,114
545,113
546,112
547,114
548,114
549,110
550,114
551,115
552,110
553,111
554,113
555,113
556,114
557,116
558,115
559,114
560,112
561,115
562,117
563,114
564,113
565,138
566,144
567,161
568,116
569,113
570,132
571,191
572,153
573,375
574,312
575,1287
576,210
577,134
578,1274
579,1974
580,2218
581,315
582,121
583,1317
584,1244
585,162
586,1475
587,163
588,627
589,1082
590,561
591,148
592,267
593,1941
594,159
595,172
596,130
597,115
598,727
599,573
600,297
601,113
602,506
603,683
604,116
605,1424
606,182
607,415
608,247
609,141
610,129
611,112
612,591
613,116
614,137
615,111
616,129
617,113
618,111
619,113
620,110
621,112
622,111
623,111
624,115
625,115
626,113
627,114
628,111
629,109
630,114
631,115
632,110
633,113
634,113
635,111
636,113
637,109
638,116
639,111
640,112
641,110
642,111
643,113
644,113
645,112
646,114
647,112
648,114
649,112
650,113
651,114
652,114
653,110
654,113
655,115
656,112
657,113
658,111
659,112
660,112
661,112
662,116
663,112
664,110
665,114
666,111
667,112
668,113
669,114
670,112
671,111
672,113
673,112
674,114
675,113
676,113
677,109
678,110
679,114
680,113
681,110
682,115
683,115
684,113
685,116
686,162
687,126
688,412
689,838
690,338
691,1931
692,127
