Muestra,Valor
40,112
41,112
42,112
43,113
44,114
45,107
46,115
47,114
48,109
49,115
50,108
51,114
52,111
53,109
54,113
55,107
56,113
57,113
58,112
59,112
60,113
61,107
62,108
63,115
64,108
65,113
66,109
67,111
68,112
69,117
70,118
71,115
72,115
73,109
74,111
75,115
76,119
77,116
78,110
79,112
80,110
81,114
82,114
83,109
84,116
85,114
86,114
87,109
88,110
89,110
90,115
91,113
92,115
93,114
94,115
95,114
96,115
97,110
98,113
99,109
100,115
101,108
102,116
103,112
104,115
105,116
106,109
107,114
108,117
109,115
110,115
111,110
112,114
113,110
114,117
115,113
116,116
117,119
118,116
119,109
120,109
121,109
122,110
123,108
124,119
125,117
126,109
127,111
128,111
129,109
130,110
131,108
132,115
133,115
134,111
135,114
136,111
137,112
138,107
139,111
140,114
141,107
142,114
143,110
144,113
145,109
146,109
147,115
148,114
149,116
150,112
151,107
152,115
153,113
154,116
155,118
156,115
157,117
158,117
159,109
160,105
161,114
162,111
163,111
164,109
165,115
166,112
167,112
168,112
169,111
170,119
171,112
172,113
173,116
174,115
175,116
176,116
177,112
178,113
179,114
180,117
181,117
182,116
183,109
184,111
185,117
186,117
187,113
188,111
189,119
190,118
191,116
192,113
193,119
194,115
195,112
196,118
197,113
198,113
199,268
200,121
201,114
202,116
203,126
204,113
205,132
206,175
207,120
208,239
209,121
210,120
211,820
212,131
213,134
214,129
215,110
216,121
217,545
218,117
219,559
220,112
221,128
222,220
223,166
224,115
225,1333
226,235
227,113
228,463
229,123
230,119
231,116
232,114
233,634
234,111
235,112
236,110
237,110
238,119
239,115
240,112
241,114
242,115
243,111
244,113
245,111
246,109
247,119
248,118
249,114
250,114
251,110
252,108
253,115
254,116
255,113
256,112
257,116
258,113
259,114
260,116
261,111
262,113
263,117
264,115
265,113
266,111
267,118
268,113
269,114
270,118
271,118
272,111
273,115
274,111
275,107
276,110
277,110
278,111
279,112
280,114
281,108
282,116
283,109
284,107
285,114
286,116
287,115
288,107
289,115
290,113
291,111
292,109
293,119
294,117
295,117
296,109
297,115
298,115
299,111
300,115
301,114
302,118
303,118
304,120
305,114
306,112
307,107
308,113
309,112
310,109
311,111
312,112
313,112
314,112
315,112
316,113
317,112
318,112
319,112
320,116
321,113
322,112
323,109
324,111
325,115
326,113
327,113
328,118
329,107
330,116
331,114
332,167
333,112
334,122
335,117
336,665
337,168
338,209
339,111
340,521
341,188
342,128
343,128
344,142
345,140
346,128
347,120
348,626
349,214
350,140
351,337
352,120
353,115
354,753
355,112
356,416
357,118
358,301
359,195
360,117
361,349
362,140
363,485
364,120
365,243
366,112
367,210
368,118
369,136
370,297
371,118
372,653
373,168
374,114
375,111
376,109
377,113
378,115
379,117
380,114
381,114
382,118
383,117
384,117
385,109
386,115
387,115
388,112
389,117
390,111
391,117
392,112
393,117
394,118
395,116
396,118
397,115
398,112
399,115
400,114
401,111
402,109
403,106
404,115
405,113
406,110
407,115
408,112
409,108
410,113
411,115
412,112
413,114
414,114
415,114
416,109
417,109
418,115
419,112
420,116
421,114
422,111
423,119
424,109
425,119
426,115
427,116
428,118
429,115
430,112
431,111
432,115
433,111
434,111
435,111
436,117
437,117
438,115
439,112
440,107
441,114
442,118
443,116
444,107
445,113
446,115
447,113
448,116
449,114
450,118
