Muestra,Valor
35,116
36,114
37,110
38,107
39,114
40,116
41,114
42,116
43,107
44,116
45,107
46,115
47,112
48,113
49,113
50,109
51,111
52,115
53,117
54,118
55,112
56,118
57,114
58,112
59,111
60,120
61,118
62,118
63,118
64,111
65,118
66,112
67,116
68,116
69,116
70,115
71,117
72,120
73,114
74,110
75,119
76,116
77,110
78,117
79,111
80,120
81,114
82,118
83,117
84,111
85,116
86,115
87,112
88,116
89,109
90,111
91,112
92,115
93,113
94,115
95,115
96,114
97,117
98,112
99,112
100,115
101,116
102,107
103,115
104,118
105,117
106,118
107,109
108,108
109,117
110,112
111,117
112,116
113,117
114,109
115,113
116,112
117,115
118,116
119,118
120,114
121,114
122,109
123,116
124,113
125,113
126,112
127,117
128,114
129,115
130,111
131,109
132,109
133,109
134,115
135,113
136,114
137,111
138,116
139,109
140,109
141,117
142,114
143,115
144,115
145,115
146,110
147,109
148,114
149,117
150,111
151,113
152,112
153,114
154,118
155,117
156,119
157,112
158,114
159,112
160,113
161,113
162,111
163,114
164,117
165,118
166,117
167,109
168,112
169,118
170,114
171,114
172,114
173,115
174,120
175,111
176,112
177,110
178,116
179,110
180,117
181,111
182,110
183,116
184,116
185,118
186,111
187,107
188,110
189,110
190,123
191,110
192,123
193,118
194,116
195,114
196,117
197,119
198,118
199,223
200,113
201,594
202,116
203,119
204,171
205,115
206,139
207,112
208,126
209,111
210,117
211,119
212,160
213,113
214,112
215,117
216,111
217,118
218,115
219,390
220,122
221,338
222,146
223,163
224,114
225,253
226,126
227,116
228,213
229,132
230,160
231,111
232,107
233,134
234,113
235,435
236,117
237,124
238,113
239,118
240,114
241,110
242,116
243,117
244,114
245,110
246,116
247,111
248,111
249,110
250,114
251,107
252,116
253,112
254,120
255,111
256,107
257,114
258,112
259,110
260,116
261,115
262,111
263,118
264,110
265,109
266,113
267,112
268,114
269,112
270,114
271,121
272,114
273,115
274,107
275,115
276,115
277,116
278,113
279,116
280,114
281,114
282,113
283,120
284,119
285,118
286,117
287,112
288,113
289,116
290,108
291,115
292,112
293,112
294,110
295,114
296,111
297,115
298,116
299,114
300,115
301,117
302,115
303,112
304,113
305,125
306,118
307,125
308,151
309,171
310,115
311,109
312,293
313,124
314,117
315,321
316,116
317,132
318,285
319,115
320,110
321,118
322,140
323,174
324,113
325,160
326,111
327,121
328,114
329,112
330,116
331,188
332,119
333,131
334,110
335,127
336,114
337,112
338,688
339,142
340,136
341,129
342,131
343,115
344,1092
345,116
346,180
347,691
348,119
349,168
350,285
351,118
352,128
353,115
354,561
355,117
356,114
357,151
358,117
359,478
360,115
361,113
362,115
363,120
364,114
365,112
366,107
367,115
368,113
369,115
370,110
371,116
372,118
373,110
374,116
375,113
376,116
377,116
378,118
379,114
380,112
381,114
382,112
383,114
384,120
385,118
386,114
387,119
388,110
389,112
390,110
391,113
392,115
393,116
394,118
395,107
396,113
397,114
398,112
399,114
400,113
401,113
402,116
403,116
404,116
405,118
406,112
407,112
408,108
409,116
410,114
411,113
412,110
413,118
414,114
415,117
416,112
417,114
418,118
419,117
420,116
421,111
422,114
423,114
424,108
425,116
426,118
427,115
428,125
429,117
430,118
431,110
432,134
433,159
434,355
435,141
436,119
437,114
438,127
439,115
440,145
441,116
442,130
443,117
444,246
445,173
446,114
447,135
448,116
449,224
450,114
451,116
452,122
453,120
454,120
455,128
456,117
457,121
458,116
459,113
460,189
461,128
462,133
463,1195
464,122
465,118
466,373
467,177
468,114
469,114
470,761
471,119
472,119
473,207
474,128
475,121
476,169
477,236
478,134
479,113
480,505
481,117
482,183
483,115
484,114
485,114
486,189
487,130
488,117
489,116
490,108
491,113
492,116
493,113
494,110
495,108
496,119
497,117
498,114
499,117
500,108
501,110
502,113
503,116
504,111
505,120
506,118
507,112
508,108
509,117
510,119
511,116
512,116
513,117
514,115
515,121
516,111
517,118
518,119
519,118
520,114
521,116
522,111
523,111
524,116
525,118
526,116
527,111
528,118
529,115
530,112
531,118
532,113
533,114
534,108
535,109
536,113
537,112
538,114
539,111
540,115
541,118
542,117
543,120
544,115
545,113
546,117
547,117
548,111
549,120
550,125
551,119
552,119
553,127
554,140
555,112
556,126
557,110
558,143
559,116
560,179
561,214
562,118
563,844
564,115
565,154
566,108
567,113
568,115
569,117
570,176
571,118
572,294
573,237
574,135
575,115
576,349
577,112
578,364
579,114
580,121
581,503
582,143
583,487
584,120
585,269
586,117
587,686
588,126
589,514
590,391
591,492
592,123
593,218
594,491
595,132
596,826
597,122
598,134
599,393
600,120
601,117
602,113
603,115
604,114
605,113
606,117
607,120
608,118
609,112
610,106
611,116
612,111
613,114
614,112
615,116
616,121
617,118
618,110
619,115
620,117
621,115
622,117
623,109
624,112
625,114
626,114
627,114
628,113
629,118
630,120
631,110
632,112
633,107
634,117
635,116
636,109
637,117
638,114
639,113
640,117
641,113
642,109
643,117
644,114
645,117
646,114
647,112
648,116
649,112
650,110
651,119
652,117
653,118
654,114
655,109
656,111
657,110
658,113
659,112
660,115
661,115
662,111
663,121
664,110
665,110
666,124
667,114
668,117
669,122
670,116
671,118
672,119
673,111
674,307
675,116
676,112
677,1039
678,109
679,122
680,110
681,145
682,125
683,113
684,120
685,142
686,109
687,269
688,669
689,116
690,113
691,227
692,116
693,117
694,276
695,115
696,216
697,120
698,188
699,1439
700,119
701,125
702,226
703,149
704,114
705,298
706,115
707,236
708,205
709,247
710,115
711,115
712,281
713,114
714,1383
715,124
716,332
717,116
718,128
719,428
720,117
721,107
722,113
723,113
724,109
725,120
726,111
727,113
728,111
729,120
730,116
731,117
732,120
733,113
734,110
735,114
736,112
737,112
738,113
739,118
740,115
741,116
742,113
743,112
744,108
745,116
746,111
747,113
748,116
749,114
750,115
751,109
752,110
753,110
754,116
755,112
756,117
757,111
758,114
759,118
760,114
761,116
762,114
