Muestra,Valor
35,114
36,113
37,115
38,111
39,117
40,113
41,113
42,112
43,111
44,119
45,119
46,119
47,115
48,116
49,115
50,106
51,115
52,118
53,117
54,112
55,111
56,113
57,111
58,110
59,117
60,115
61,118
62,118
63,112
64,115
65,116
66,117
67,114
68,111
69,116
70,114
71,116
72,110
73,111
74,113
75,115
76,114
77,111
78,119
79,107
80,116
81,112
82,109
83,116
84,115
85,115
86,113
87,113
88,113
89,112
90,118
91,117
92,120
93,117
94,113
95,115
96,119
97,113
98,113
99,118
100,119
101,121
102,119
103,110
104,117
105,113
106,117
107,108
108,109
109,111
110,114
111,117
112,111
113,118
114,115
115,120
116,117
117,119
118,112
119,113
120,115
121,109
122,118
123,119
124,119
125,115
126,115
127,112
128,115
129,113
130,114
131,116
132,115
133,116
134,117
135,119
136,112
137,110
138,116
139,115
140,112
141,114
142,114
143,114
144,119
145,111
146,114
147,115
148,116
149,113
150,113
151,110
152,118
153,116
154,117
155,113
156,113
157,117
158,119
159,114
160,107
161,117
162,115
163,113
164,111
165,111
166,117
167,112
168,117
169,117
170,116
171,115
172,118
173,112
174,116
175,116
176,115
177,111
178,119
179,115
180,118
181,116
182,116
183,113
184,117
185,110
186,113
187,120
188,118
189,119
190,116
191,117
192,109
193,115
194,113
195,117
196,112
197,115
198,112
199,114
200,113
201,115
202,119
203,119
204,115
205,118
206,115
207,114
208,109
209,115
210,115
211,116
212,110
213,111
214,117
215,110
216,113
217,111
218,112
219,118
220,112
221,114
222,117
223,110
224,110
225,110
226,116
227,115
228,118
229,113
230,118
231,113
232,113
233,119
234,117
235,119
236,115
237,119
238,118
239,113
240,118
241,113
242,116
243,113
244,117
245,119
246,118
247,114
248,112
249,118
250,112
251,114
252,112
253,112
254,114
255,114
256,117
257,116
258,116
259,119
260,118
261,111
262,107
263,109
264,114
265,117
266,115
267,115
268,116
269,119
270,110
271,107
272,115
273,114
274,119
275,115
276,115
277,111
278,120
279,117
280,120
281,108
282,116
283,119
284,113
285,111
286,114
287,113
288,116
289,114
290,116
291,112
292,117
293,112
294,110
295,112
296,114
297,111
298,111
299,119
300,119
301,117
302,116
303,112
304,114
305,116
306,119
307,115
308,116
309,122
310,118
311,118
312,127
313,113
314,151
315,118
316,129
317,116
318,124
319,124
320,119
321,109
322,118
323,120
324,115
325,127
326,368
327,418
328,127
329,117
330,122
331,179
332,127
333,115
334,119
335,119
336,114
337,125
338,118
339,133
340,121
341,114
342,114
343,133
344,117
345,125
346,154
347,131
348,120
349,120
350,121
351,116
352,127
353,115
354,120
355,114
356,120
