Muestra,Valor
35,114
36,115
37,115
38,117
39,117
40,114
41,114
42,116
43,112
44,111
45,116
46,117
47,112
48,115
49,114
50,118
51,116
52,112
53,117
54,113
55,120
56,115
57,115
58,113
59,113
60,114
61,112
62,117
63,114
64,114
65,112
66,120
67,113
68,117
69,115
70,113
71,118
72,113
73,117
74,114
75,113
76,117
77,113
78,116
79,116
80,116
81,115
82,113
83,115
84,117
85,113
86,115
87,113
88,120
89,115
90,112
91,116
92,115
93,116
94,113
95,111
96,117
97,118
98,114
99,112
100,113
101,110
102,117
103,117
104,113
105,118
106,115
107,113
108,116
109,115
110,117
111,110
112,111
113,115
114,116
115,113
116,116
117,114
118,119
119,112
120,109
121,115
122,115
123,114
124,114
125,111
126,115
127,114
128,113
129,116
130,113
131,115
132,114
133,117
134,119
135,119
136,115
137,113
138,116
139,115
140,115
141,114
142,112
143,117
144,112
145,119
146,112
147,112
148,117
149,117
150,115
151,118
152,112
153,116
154,113
155,114
156,115
157,112
158,117
159,114
160,114
161,110
162,113
163,117
164,114
165,113
166,114
167,113
168,111
169,117
170,112
171,116
172,114
173,112
174,119
175,113
176,110
177,115
178,115
179,115
180,115
181,117
182,113
183,116
184,111
185,110
186,116
187,111
188,113
189,112
190,112
191,118
192,114
193,113
194,119
195,118
196,119
197,115
198,110
199,112
200,118
201,117
202,111
203,116
204,116
205,113
206,117
207,113
208,108
209,116
210,113
211,111
212,112
213,119
214,118
215,115
216,116
217,111
218,109
219,117
220,108
221,117
222,112
223,114
224,116
225,112
226,114
227,119
228,117
229,112
230,117
231,113
232,111
233,115
234,113
235,112
236,117
237,118
238,118
239,116
240,110
241,118
242,117
243,115
244,113
245,112
246,116
247,113
248,119
249,115
250,109
251,116
252,112
253,115
254,111
255,114
256,114
257,115
258,116
259,118
260,118
261,119
262,117
263,111
264,107
265,114
266,116
267,118
268,115
269,119
270,114
271,116
272,113
273,112
274,117
275,114
276,110
277,107
278,119
279,114
280,119
281,117
282,118
283,118
284,120
285,111
286,116
287,112
288,116
289,116
290,116
291,118
292,118
293,121
294,119
295,110
296,108
297,116
298,114
299,118
300,113
301,118
302,123
303,117
304,115
305,109
306,117
307,114
308,118
309,117
310,111
311,113
312,116
313,114
314,114
315,118
316,116
317,117
318,116
319,113
320,116
321,119
322,116
323,117
324,112
325,121
326,112
327,113
328,118
329,119
330,115
331,116
332,115
333,113
334,118
335,116
336,116
337,119
338,116
339,113
340,119
341,112
342,110
343,115
344,115
345,112
346,115
347,113
348,117
349,119
350,113
351,112
352,116
353,114
354,112
355,111
356,116
357,114
358,115
359,111
360,108
361,116
362,112
363,112
364,115
365,110
366,118
367,113
368,119
369,119
370,118
371,113
372,114
373,112
374,108
375,117
376,117
377,114
378,109
379,115
380,111
381,117
382,115
383,116
384,115
385,113
386,116
387,116
388,114
389,116
390,117
391,116
392,112
393,116
394,114
395,115
396,113
397,118
398,117
399,116
400,115
401,113
402,118
403,121
404,115
405,114
406,107
407,119
408,112
409,111
410,118
411,115
412,116
413,116
414,110
415,108
416,118
417,115
418,117
419,115
420,114
421,114
422,117
423,113
424,114
425,116
426,116
427,114
428,118
429,109
430,117
431,109
432,116
433,113
434,112
435,119
436,112
437,110
438,117
439,120
440,121
441,118
442,111
443,112
444,112
445,115
446,117
447,118
448,116
449,119
450,114
451,113
452,107
453,116
454,117
455,114
456,111
457,116
458,111
459,115
460,112
461,112
462,115
463,113
464,118
465,110
466,118
467,115
468,120
469,110
470,108
471,117
472,113
473,117
474,110
475,107
476,113
477,115
478,112
479,111
480,114
481,109
482,111
483,117
484,109
485,112
486,110
487,113
488,114
489,107
490,110
491,116
492,111
493,117
494,114
495,116
496,116
497,119
498,114
499,115
500,117
501,118
502,117
503,120
504,118
505,114
506,112
507,116
508,108
509,119
510,113
511,112
512,112
513,112
514,116
515,112
516,118
517,114
518,112
519,121
520,115
521,118
522,113
523,112
524,115
525,118
526,112
527,117
528,109
529,109
530,117
531,115
532,114
533,116
534,111
535,117
536,117
537,119
538,115
539,117
540,120
541,119
542,116
543,116
544,115
545,110
546,120
547,112
548,120
549,119
550,112
551,116
552,111
553,116
554,113
555,113
556,114
557,115
558,115
559,117
560,111
561,108
562,117
563,111
564,119
565,118
566,114
567,111
568,116
569,111
570,108
571,117
572,112
573,117
574,109
575,108
576,112
577,117
578,113
579,115
580,116
581,113
582,116
583,111
584,113
585,115
586,112
587,110
588,114
589,112
590,113
591,117
592,114
593,114
594,114
595,115
596,119
597,115
598,114
599,116
600,113
601,114
602,118
603,120
604,113
605,118
606,110
607,119
608,113
609,112
610,118
611,116
612,115
613,114
614,115
615,113
616,117
617,114
618,117
619,108
620,114
621,120
622,115
623,113
624,115
625,116
626,112
627,120
628,112
629,114
630,117
631,117
632,114
633,113
634,117
635,116
636,116
637,115
638,113
639,117
640,114
641,119
642,110
643,114
644,117
645,116
646,114
647,112
648,118
649,115
650,113
651,119
652,116
653,117
654,113
655,117
656,116
657,117
658,111
659,117
660,113
661,109
662,117
663,119
664,118
665,114
666,115
667,113
668,108
669,119
670,115
671,122
672,109
673,116
674,112
675,116
676,118
677,114
678,118
679,115
680,117
681,114
682,119
683,111
684,114
685,117
686,114
687,112
688,116
689,109
690,117
691,113
692,121
693,115
694,117
695,118
696,116
697,115
698,112
699,113
700,112
701,116
702,108
703,117
704,110
705,114
706,115
707,113
708,114
709,111
710,117
711,109
712,121
713,115
714,111
715,115
716,115
717,120
718,118
719,109
720,114
721,111
722,114
723,116
724,118
725,117
726,120
727,110
728,114
729,108
730,116
731,116
732,115
733,113
734,112
735,109
736,111
737,113
738,107
739,117
740,113
741,119
742,111
743,118
744,113
745,112
746,119
747,111
748,118
749,120
750,114
751,113
752,110
753,115
754,112
755,115
756,112
757,112
758,118
759,116
760,115
761,120
762,118
763,119
764,118
765,110
766,113
767,114
768,111
769,113
770,115
771,116
772,118
773,118
