Muestra,Valor
35,110
36,113
37,111
38,111
39,112
40,115
41,113
42,111
43,110
44,115
45,113
46,109
47,114
48,112
49,112
50,112
51,114
52,108
53,110
54,113
55,113
56,110
57,112
58,113
59,107
60,112
61,110
62,113
63,108
64,112
65,113
66,113
67,112
68,112
69,113
70,110
71,114
72,112
73,114
74,116
75,114
76,116
77,107
78,114
79,114
80,110
81,111
82,110
83,112
84,110
85,113
86,112
87,111
88,112
89,112
90,114
91,114
92,114
93,113
94,111
95,114
96,112
97,113
98,112
99,115
100,116
101,111
102,112
103,111
104,113
105,112
106,113
107,113
108,108
109,111
110,114
111,111
112,110
113,112
114,111
115,111
116,111
117,113
118,111
119,113
120,112
121,114
122,110
123,111
124,111
125,115
126,112
127,113
128,112
129,110
130,115
131,109
132,111
133,109
134,111
135,113
136,111
137,115
138,112
139,114
140,113
141,113
142,111
143,116
144,111
145,112
146,112
147,115
148,112
149,116
150,115
151,112
152,113
153,113
154,112
155,115
156,113
157,117
158,113
159,114
160,112
161,109
162,113
163,115
164,110
165,114
166,111
167,110
168,111
169,113
170,111
171,112
172,111
173,111
174,113
175,109
176,113
177,113
178,114
179,114
180,112
181,112
182,112
183,110
184,115
185,114
186,111
187,116
188,111
189,114
190,112
191,114
192,113
193,115
194,112
195,114
196,116
197,115
198,113
199,112
200,110
201,114
202,113
203,113
204,112
205,111
206,110
207,113
208,111
209,113
210,111
211,112
212,112
213,111
214,114
215,111
216,113
217,114
218,113
219,115
220,115
221,117
222,111
223,111
224,115
225,111
226,114
227,112
228,115
229,112
230,109
231,114
232,112
233,111
234,111
235,113
236,110
237,114
238,114
239,117
240,113
241,115
242,115
243,113
244,110
245,111
246,114
247,112
248,115
249,113
250,111
251,113
252,110
253,115
254,115
255,111
256,113
257,110
258,115
259,115
260,110
261,114
262,113
263,111
264,115
265,114
266,114
267,114
268,109
269,114
270,111
271,112
272,113
273,111
274,112
275,111
276,113
277,112
278,113
279,118
280,116
281,115
282,113
283,114
284,112
285,109
286,114
287,112
288,111
289,115
290,115
291,111
292,116
293,112
294,111
295,111
296,113
297,114
298,111
299,110
300,112
301,113
302,113
303,113
304,115
305,112
306,111
307,114
308,113
309,110
310,113
311,115
312,114
313,112
314,114
315,114
316,115
317,110
318,112
319,110
320,112
321,115
322,113
323,116
324,117
325,116
326,113
327,113
328,113
329,115
330,112
331,116
332,114
333,114
334,114
335,111
336,114
337,110
338,115
339,112
340,109
341,114
342,114
343,109
344,113
345,111
346,111
347,114
348,116
349,111
350,115
351,112
352,114
353,111
354,111
355,114
356,110
357,111
358,111
359,114
360,111
361,115
362,114
363,116
364,115
365,115
366,113
367,112
368,112
369,112
370,111
371,112
372,113
373,111
374,110
375,114
376,112
377,110
378,111
379,113
380,113
381,109
382,115
383,111
384,113
385,111
386,111
387,113
388,112
389,114
390,115
391,112
392,112
393,114
394,112
395,114
396,114
397,114
398,113
399,114
400,115
401,113
402,114
403,113
404,113
405,114
406,111
407,114
408,114
409,115
410,114
411,113
412,112
413,113
414,111
415,113
416,111
417,111
418,115
419,114
420,115
421,112
422,114
423,113
424,111
425,111
426,115
427,114
428,114
429,114
430,112
431,116
432,112
433,113
434,117
435,114
436,113
437,111
438,114
439,113
440,115
441,114
442,110
443,114
444,115
445,111
446,114
447,116
448,115
449,115
450,113
451,113
452,112
453,113
454,115
455,112
456,110
457,110
458,109
459,110
460,114
461,113
462,112
463,114
464,114
465,114
466,112
467,113
468,114
469,110
470,115
471,115
472,135
473,123
474,116
475,160
476,208
477,115
478,535
479,231
480,3077
481,356
482,1399
483,343
484,1606
485,1560
486,530
487,3303
488,269
489,1124
490,368
491,817
492,126
493,4508
494,2751
495,881
496,1345
497,2408
498,334
499,1935
500,118
501,1632
502,120
503,2313
504,2006
505,2079
506,1353
507,590
508,1142
509,1317
510,4101
511,9516
512,1437
513,4041
514,3486
515,4659
516,699
517,5510
518,4684
519,856
520,2561
521,1957
522,2421
523,322
524,1963
525,2420
526,1318
527,4173
528,1123
529,1220
530,3030
531,1425
532,1927
533,1239
534,347
535,1532
536,145
537,941
538,182
539,134
540,118
541,122
542,139
543,120
544,115
545,119
546,112
547,115
548,111
549,116
550,113
551,115
552,111
553,110
554,114
555,113
556,112
557,113
558,113
559,115
560,111
561,114
562,114
563,109
564,115
565,112
566,123
567,109
568,113
569,114
570,109
571,114
572,114
573,111
574,113
575,114
576,114
577,112
578,113
579,112
580,112
581,115
582,114
583,114
584,112
585,116
586,112
587,110
588,114
589,113
590,110
591,229
592,117
593,151
594,113
595,113
596,113
597,110
598,115
599,117
600,109
601,111
602,114
603,113
604,118
605,111
606,114
607,113
608,110
609,114
610,112
611,111
612,113
613,113
614,112
615,112
616,113
617,112
618,111
619,115
620,114
621,112
622,110
623,113
624,114
625,114
626,113
627,114
628,110
629,109
630,109
631,111
632,115
633,113
634,115
635,112
636,109
637,113
638,113
639,536
640,870
641,247
642,147
643,1239
644,2019
645,2710
646,2932
647,294
648,4002
649,1150
650,1000
651,4690
652,1136
653,3398
654,2401
655,1100
656,4676
657,1008
658,2035
659,115
660,1774
661,1484
662,3266
663,2988
664,2179
665,3598
666,4826
667,5206
668,1138
669,2240
670,1142
671,4306
672,3450
673,9781
674,3946
675,1270
676,1095
677,3188
678,5460
679,3859
680,5010
681,1444
682,6061
683,2859
684,7285
685,149
686,7062
687,4636
688,6906
689,5748
690,2611
691,5210
692,3651
693,3045
694,6124
695,5121
696,2000
697,2256
698,251
699,1261
700,2176
701,902
702,5829
703,491
704,335
705,140
706,618
707,125
708,113
709,115
710,114
711,111
712,111
713,115
714,113
715,116
716,113
717,112
718,109
719,114
720,114
721,113
722,116
723,121
724,113
725,113
726,113
727,112
728,110
729,117
730,113
731,111
732,113
733,113
734,115
735,111
736,114
737,116
738,113
739,112
740,113
741,112
742,111
743,116
744,113
745,109
746,114
747,117
748,114
749,118
750,114
751,116
752,117
753,115
754,114
755,115
756,112
757,109
758,111
759,112
760,112
761,109
762,114
763,114
764,114
765,116
766,111
767,110
768,115
769,112
770,113
771,112
772,112
773,113
774,113
775,114
776,113
777,111
778,113
779,114
780,112
781,112
782,111
783,109
784,110
785,113
786,115
787,111
788,111
789,113
790,111
791,113
792,116
793,114
794,112
795,109
796,110
797,113
798,115
799,114
800,112
801,112
802,113
803,115
804,112
805,114
806,110
807,112
808,115
809,109
810,113
811,113
812,113
813,112
814,109
815,112
816,114
817,114
818,112
819,113
820,111
821,133
822,154
823,142
824,112
825,173
826,248
827,1022
828,231
829,211
830,119
831,1286
832,2188
833,2722
834,183
835,1609
836,608
837,370
838,1424
839,1894
840,842
841,4318
842,1537
843,1308
844,879
845,2467
846,296
847,3161
848,3631
849,361
850,4452
851,373
852,7269
853,1927
854,4730
855,685
856,9457
857,2437
858,6582
859,3217
860,3710
861,7024
862,996
863,5577
864,380
865,6323
866,1223
867,5122
868,5618
869,3711
870,935
871,2654
872,4934
873,227
874,1556
875,3082
876,1052
877,698
878,1112
879,225
880,1412
881,208
882,142
883,302
884,552
885,115
886,112
887,115
888,113
889,115
890,112
891,113
892,112
893,114
894,115
895,111
896,115
897,114
898,113
899,117
900,114
901,115
902,112
903,112
904,114
905,111
906,109
907,111
908,114
909,112
910,110
911,113
912,115
913,113
914,112
915,112
916,113
917,113
918,111
919,111
920,113
921,115
922,112
923,109
924,113
925,114
926,111
927,113
928,114
929,113
930,112
931,112
932,115
933,112
934,110
935,112
936,114
937,115
938,113
939,112
940,112
941,114
942,113
943,111
944,111
945,113
946,115
947,113
948,114
949,112
950,114
951,110
952,112
953,113
954,110
955,114
956,111
957,113
958,114
959,115
960,111
961,114
962,114
963,112
964,116
965,114
966,116
967,110
968,111
969,111
970,115
971,113
972,115
973,115
974,110
975,111
976,111
977,114
978,112
979,114
980,115
981,114
982,112
983,117
984,110
985,115
986,113
987,112
988,114
989,114
990,114
991,113
992,113
993,118
994,118
995,114
996,113
997,114
998,117
999,121
1000,116
1001,154
1002,536
1003,112
1004,359
1005,215
1006,333
1007,687
1008,3003
1009,371
1010,1381
1011,536
1012,601
1013,1742
1014,703
1015,4257
1016,660
1017,1154
1018,169
1019,970
1020,1708
1021,3961
1022,3094
1023,526
1024,1004
1025,768
1026,2322
1027,167
1028,4391
1029,252
1030,1001
1031,1909
1032,1317
1033,2686
1034,4723
1035,3669
1036,3166
1037,1993
1038,2054
1039,4133
1040,814
1041,1914
1042,3928
1043,4255
1044,593
1045,2159
1046,3039
1047,6464
1048,954
1049,3308
1050,859
1051,6358
1052,5188
1053,1179
1054,2247
1055,2910
1056,5117
1057,1025
1058,4720
1059,3864
1060,411
1061,191
1062,184
1063,5485
1064,1655
1065,723
1066,118
1067,141
1068,163
1069,2135
1070,118
1071,111
1072,110
1073,110
1074,110
1075,109
1076,116
1077,111
1078,109
1079,113
1080,113
1081,113
1082,111
1083,115
1084,112
1085,111
1086,112
1087,113
1088,115
1089,120
1090,115
1091,110
1092,115
1093,115
1094,109
1095,112
1096,113
1097,110
1098,114
1099,111
1100,111
1101,112
1102,111
1103,113
1104,114
1105,111
1106,112
1107,111
1108,111
1109,110
1110,113
1111,108
1112,113
1113,116
1114,115
1115,112
1116,115
1117,120
1118,111
1119,112
1120,111
1121,114
1122,111
1123,115
1124,113
1125,114
1126,111
1127,114
1128,113
1129,113
1130,114
1131,114
1132,112
1133,112
1134,113
1135,112
1136,115
1137,112
1138,117
1139,115
1140,112
1141,111
1142,114
1143,110
1144,114
1145,114
1146,118
1147,117
1148,113
1149,109
1150,113
1151,117
