Muestra,Valor
35,114
36,118
37,114
38,113
39,112
40,111
41,110
42,110
43,114
44,112
45,114
46,113
47,114
48,115
49,112
50,111
51,111
52,113
53,112
54,116
55,115
56,111
57,115
58,112
59,114
60,114
61,112
62,111
63,111
64,116
65,114
66,115
67,110
68,117
69,116
70,114
71,115
72,112
73,112
74,114
75,115
76,112
77,114
78,117
79,111
80,114
81,112
82,112
83,114
84,110
85,114
86,112
87,112
88,112
89,111
90,113
91,118
92,114
93,118
94,113
95,112
96,109
97,112
98,114
99,114
100,114
101,111
102,115
103,117
104,113
105,110
106,112
107,118
108,112
109,113
110,118
111,115
112,112
113,112
114,112
115,116
116,114
117,112
118,110
119,113
120,114
121,114
122,112
123,112
124,115
125,109
126,116
127,116
128,114
129,114
130,112
131,108
132,113
133,115
134,116
135,113
136,115
137,116
138,111
139,117
140,113
141,118
142,119
143,112
144,112
145,112
146,116
147,114
148,113
149,109
150,113
151,116
152,113
153,116
154,113
155,114
156,108
157,115
158,112
159,119
160,116
161,117
162,113
163,115
164,112
165,114
166,112
167,115
168,114
169,108
170,111
171,114
172,116
173,117
174,115
175,119
176,115
177,118
178,114
179,115
180,114
181,115
182,113
183,115
184,116
185,114
186,112
187,115
188,118
189,114
190,114
191,116
192,115
193,115
194,113
195,111
196,117
197,114
198,115
199,111
200,112
201,109
202,116
203,112
204,116
205,113
206,112
207,116
208,114
209,113
210,116
211,116
212,116
213,117
214,114
215,114
216,114
217,116
218,117
219,114
220,105
221,116
222,112
223,114
224,108
225,113
226,113
227,117
228,112
229,109
230,113
231,114
232,113
233,117
234,114
235,115
236,109
237,114
238,110
239,114
240,112
241,111
242,117
243,117
244,116
245,110
246,112
247,112
248,112
249,116
250,111
251,112
252,118
253,114
254,111
255,114
256,117
257,108
258,113
259,110
260,136
261,115
262,148
263,124
264,241
265,121
266,135
267,134
268,116
269,240
270,772
271,252
272,117
273,258
274,703
275,340
276,173
277,484
278,2096
279,197
280,1440
281,569
282,390
283,226
284,2716
285,310
286,1462
287,328
288,869
289,797
290,3161
291,1072
292,485
293,300
294,1923
295,114
296,952
297,208
298,2589
299,744
300,1916
301,308
302,114
303,114
304,121
305,110
306,113
307,113
308,114
309,118
310,117
311,116
312,107
313,117
314,114
315,117
316,117
317,116
318,119
319,116
320,110
321,113
322,115
323,113
324,114
325,113
326,110
327,112
328,109
329,114
330,117
331,118
332,112
333,112
334,109
335,105
336,116
337,115
338,111
339,114
340,112
341,109
342,117
343,108
344,105
345,117
346,111
347,111
348,114
349,113
350,114
351,114
352,112
353,114
354,113
355,112
356,110
357,118
358,117
359,117
360,117
361,111
362,118
363,114
364,116
365,109
366,114
367,115
368,113
369,113
370,111
371,111
372,114
373,110
374,114
375,112
376,117
377,112
378,117
379,108
380,110
381,111
382,112
383,116
384,113
385,116
386,118
387,115
388,109
389,107
390,117
391,117
392,106
393,118
394,114
395,122
396,118
397,202
398,354
399,143
400,123
401,163
402,164
403,116
404,119
405,142
406,122
407,216
408,269
409,505
410,121
411,115
412,238
413,190
414,319
415,121
416,148
417,320
418,226
419,298
420,1074
421,120
422,530
423,420
424,803
425,1731
426,448
427,1938
428,177
429,807
430,851
431,1595
432,317
433,1750
434,118
435,3000
436,440
437,3071
438,558
439,160
440,194
441,125
442,242
443,142
444,115
445,140
446,117
447,118
448,113
449,112
450,117
451,116
452,115
453,115
454,117
455,115
456,116
457,112
458,114
459,113
460,111
461,113
462,119
463,112
464,111
465,114
466,110
467,115
468,114
469,111
470,112
471,112
472,110
473,110
474,115
475,115
476,117
477,115
478,116
479,113
480,115
481,107
482,111
483,114
484,115
485,116
486,120
487,113
488,118
489,113
490,108
491,113
492,113
493,112
494,112
495,113
496,109
497,116
498,113
499,106
500,116
501,113
502,116
503,112
504,115
505,115
506,114
507,119
508,113
509,116
510,109
511,115
512,113
513,108
514,117
515,110
516,115
517,110
518,116
519,107
520,107
521,116
522,114
523,111
524,111
525,114
526,118
527,114
528,116
529,116
530,115
531,114
532,108
533,115
534,117
535,113
536,113
537,113
538,111
539,114
540,113
541,117
542,117
543,115
544,120
545,116
546,109
547,116
548,123
549,113
550,115
551,127
552,110
553,121
554,115
555,172
556,151
557,118
558,147
559,140
560,1237
561,113
562,266
563,193
564,182
565,397
566,186
567,232
568,212
569,134
570,238
571,114
572,1162
573,1767
574,389
575,330
576,140
577,1304
578,1503
579,506
580,2469
581,1516
582,405
583,191
584,1011
585,844
586,3990
587,343
588,356
589,1828
590,130
591,584
592,359
593,609
594,736
595,650
596,121
597,135
598,113
599,172
600,112
601,113
602,120
603,110
604,114
605,118
606,115
607,151
608,116
609,115
610,110
611,115
612,113
613,114
614,109
615,112
616,112
617,114
618,116
619,118
620,117
621,114
622,115
623,117
624,109
625,117
626,112
627,110
628,114
629,117
630,113
631,117
632,115
633,112
634,117
