0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
317.0,15.0,90.0,223.0,655.0,1367.0,465.0,1537.0,600.0,1105.0,1838.0,3730.0,7.0,3753.0,658.0,3132.0,1644.0,1516.0,718.0,6240.0,34.0,2680.0,1832.0,3905.0,513.0,782.0,1673.0,3519.0,720.0,1764.0,1307.0,754.0,3270.0,4887.0,537.0,2628.0,1139.0,1151.0,1724.0,4613.0,763.0,3702.0,5337.0,2509.0,2054.0,1986.0,2410.0,2367.0,1446.0,1963.0,168.0,2108.0,1790.0,1360.0,1155.0,4800.0,1423.0,4976.0,216.0,2720.0,5724.0,2071.0,2592.0,1270.0,4182.0,1403.0,712.0,1874.0,1710.0,2570.0,953.0,609.0,494.0,178.0,142.0,829.0,277.0,92.0,94.0,429.0,238.0,60.0,69.0,52.0,321.0,92.0,82.0,41.0,99.0,36.0,63.0,32.0,29.0,84.0,51.0,75.0,64.0,33.0,61.0,67.0,44.0,75.0,57.0,104.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427.0,576.0,49.0,1144.0,320.0,997.0,647.0,908.0,3427.0,138.0,3193.0,2913.0,1509.0,2314.0,1247.0,4056.0,2158.0,591.0,2580.0,3741.0,196.0,3849.0,2139.0,1048.0,2175.0,707.0,819.0,2028.0,1302.0,1651.0,1172.0,956.0,1308.0,1124.0,2464.0,4623.0,4199.0,1016.0,2330.0,2079.0,1024.0,2134.0,2804.0,1993.0,1176.0,2025.0,684.0,2084.0,5129.0,1310.0,5152.0,2212.0,1906.0,1224.0,4219.0,636.0,3762.0,609.0,4178.0,1753.0,4930.0,1610.0,1267.0,2326.0,539.0,2989.0,1251.0,5382.0,1345.0,2574.0,1832.0,1937.0,1704.0,1397.0,1564.0,3808.0,1834.0,1148.0,148.0,873.0,260.0,336.0,51.0,549.0,93.0,96.0,136.0,87.0,42.0,35.0,109.0,114.0,26.0,41.0,40.0,47.0,49.0,50.0,97.0,64.0,85.0,43.0,70.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.0,152.0,200.0,1094.0,466.0,822.0,1089.0,738.0,1379.0,1032.0,3720.0,106.0,686.0,2058.0,73.0,3397.0,48.0,3388.0,1046.0,822.0,1877.0,1348.0,2919.0,1393.0,2316.0,483.0,2190.0,4222.0,1528.0,1493.0,3339.0,1758.0,297.0,1535.0,1906.0,2665.0,943.0,1841.0,400.0,4575.0,1361.0,3035.0,904.0,1379.0,1395.0,2795.0,5133.0,1820.0,3306.0,3798.0,737.0,3130.0,5421.0,1778.0,3066.0,2045.0,2431.0,965.0,1905.0,2110.0,1881.0,3154.0,437.0,2090.0,1159.0,2147.0,3071.0,1775.0,998.0,1368.0,5296.0,1776.0,813.0,1243.0,1535.0,4682.0,1231.0,1461.0,402.0,175.0,265.0,64.0,94.0,102.0,63.0,51.0,42.0,116.0,44.0,100.0,37.0,52.0,104.0,111.0,44.0,58.0,36.0,44.0,38.0,51.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313.0,105.0,104.0,1656.0,180.0,576.0,927.0,26.0,1942.0,242.0,2904.0,729.0,2136.0,5531.0,3178.0,1661.0,694.0,4035.0,632.0,1702.0,2456.0,237.0,2369.0,559.0,3890.0,2420.0,527.0,568.0,1193.0,402.0,2598.0,1768.0,1673.0,795.0,1872.0,1082.0,2877.0,1055.0,1047.0,3031.0,1622.0,1381.0,2768.0,1824.0,804.0,1582.0,931.0,1006.0,841.0,781.0,1989.0,774.0,3394.0,1599.0,2338.0,2026.0,1766.0,1641.0,4467.0,60.0,1413.0,2692.0,2737.0,77.0,4927.0,2902.0,918.0,629.0,2365.0,3016.0,921.0,3612.0,1505.0,1961.0,3108.0,3496.0,1885.0,1822.0,3158.0,1936.0,2690.0,1114.0,691.0,1906.0,1025.0,999.0,1831.0,778.0,407.0,1204.0,447.0,252.0,196.0,123.0,69.0,37.0,89.0,57.0,98.0,36.0,99.0,67.0,53.0,43.0,73.0,45.0,61.0,57.0,59.0,69.0,45.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258.0,91.0,266.0,1119.0,627.0,716.0,337.0,536.0,559.0,1408.0,1023.0,2359.0,1520.0,2263.0,5879.0,786.0,1219.0,2684.0,3729.0,57.0,2229.0,1295.0,2131.0,2522.0,132.0,1726.0,2116.0,674.0,1379.0,1797.0,2392.0,1083.0,1994.0,474.0,602.0,1901.0,1631.0,3243.0,1019.0,3656.0,470.0,3220.0,2056.0,260.0,1392.0,3810.0,1299.0,2571.0,2880.0,830.0,2953.0,1712.0,1159.0,1177.0,1995.0,2397.0,1071.0,1603.0,5733.0,4140.0,1601.0,2499.0,838.0,2657.0,3606.0,357.0,2952.0,3721.0,791.0,4942.0,1342.0,2314.0,1184.0,3415.0,2049.0,856.0,2651.0,2996.0,1992.0,3374.0,2266.0,2470.0,1235.0,2700.0,502.0,1205.0,1001.0,277.0,101.0,215.0,127.0,37.0,50.0,31.0,266.0,137.0,62.0,97.0,41.0,88.0,46.0,121.0,59.0,95.0,31.0,265.0,19.0,83.0,74.0,38.0,99.0,48.0,94.0,32.0,62.0,43.0,59.0,65.0,95.0,65.0,66.0,54.0,79.0,32.0,53.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764.0,110.0,205.0,49.0,186.0,987.0,77.0,165.0,1141.0,900.0,4414.0,710.0,1066.0,1502.0,2303.0,1647.0,3171.0,556.0,1188.0,2715.0,2853.0,210.0,787.0,3564.0,1325.0,2381.0,499.0,2130.0,356.0,6620.0,483.0,2458.0,1677.0,2542.0,289.0,4461.0,121.0,1193.0,3751.0,422.0,6063.0,666.0,5041.0,495.0,2520.0,1262.0,6456.0,3131.0,2385.0,3468.0,1172.0,5965.0,1816.0,2832.0,1964.0,3502.0,2761.0,2868.0,1611.0,2558.0,2416.0,1068.0,2472.0,1661.0,1368.0,3320.0,1541.0,2979.0,2617.0,4468.0,2180.0,1427.0,933.0,2085.0,4916.0,173.0,5872.0,1890.0,1198.0,2475.0,2468.0,3316.0,568.0,2022.0,864.0,1758.0,4394.0,3028.0,1102.0,274.0,240.0,142.0,93.0,75.0,117.0,51.0,100.0,30.0,587.0,78.0,175.0,42.0,43.0,97.0,29.0,125.0,28.0,65.0,39.0,93.0,35.0,54.0,65.0,49.0,45.0,42.0,70.0,71.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849.0,195.0,158.0,749.0,313.0,555.0,138.0,871.0,1263.0,984.0,387.0,1108.0,281.0,1886.0,1643.0,918.0,545.0,987.0,4135.0,348.0,2102.0,520.0,983.0,2919.0,994.0,2680.0,438.0,1923.0,1282.0,1741.0,589.0,1228.0,2896.0,1105.0,2402.0,2518.0,1708.0,337.0,5069.0,3192.0,638.0,2508.0,1137.0,2324.0,119.0,5203.0,494.0,1330.0,4297.0,960.0,2474.0,1153.0,3773.0,110.0,1948.0,568.0,2202.0,587.0,2599.0,294.0,1363.0,3048.0,3085.0,1798.0,692.0,1071.0,2462.0,4660.0,2585.0,687.0,923.0,2725.0,3009.0,2255.0,3086.0,465.0,2169.0,3138.0,1223.0,1847.0,1392.0,2311.0,786.0,989.0,1891.0,761.0,550.0,69.0,68.0,74.0,66.0,68.0,45.0,100.0,67.0,113.0,38.0,115.0,61.0,63.0,50.0,57.0,46.0,42.0,51.0,54.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249.0,89.0,58.0,77.0,75.0,54.0,62.0,46.0,79.0,890.0,438.0,692.0,337.0,462.0,1012.0,258.0,2795.0,1288.0,1742.0,2334.0,684.0,4032.0,1602.0,2080.0,1404.0,3449.0,530.0,3496.0,73.0,4477.0,1101.0,1913.0,1351.0,461.0,1837.0,744.0,1228.0,5077.0,2961.0,483.0,783.0,3778.0,2257.0,1489.0,3114.0,1517.0,1829.0,665.0,654.0,2566.0,3787.0,1052.0,1409.0,1464.0,639.0,3624.0,1205.0,1385.0,3662.0,498.0,4960.0,1701.0,2143.0,1519.0,5011.0,1783.0,4035.0,903.0,1938.0,1834.0,4265.0,2221.0,1461.0,1142.0,3565.0,1349.0,1655.0,957.0,3025.0,1624.0,643.0,3675.0,1680.0,3678.0,3651.0,702.0,3297.0,3338.0,4450.0,473.0,2335.0,2842.0,3956.0,1153.0,1904.0,1307.0,1867.0,2019.0,2939.0,1516.0,617.0,80.0,1176.0,538.0,661.0,175.0,65.0,84.0,79.0,82.0,119.0,45.0,74.0,79.0,218.0,48.0,40.0,87.0,60.0,36.0,51.0,43.0,38.0,79.0,52.0,62.0,43.0,49.0,70.0,50.0,32.0,91.0,71.0,34.0,118.0
480.0,152.0,650.0,610.0,541.0,1731.0,2143.0,329.0,3170.0,1551.0,3903.0,1216.0,3294.0,2336.0,329.0,2255.0,3103.0,722.0,1362.0,1079.0,2324.0,706.0,3287.0,1857.0,1664.0,258.0,2181.0,1017.0,764.0,2875.0,391.0,5403.0,1526.0,1087.0,1932.0,776.0,3887.0,985.0,1914.0,1199.0,2009.0,4368.0,1865.0,1343.0,2201.0,2217.0,1318.0,1294.0,2629.0,890.0,3560.0,382.0,1594.0,1879.0,1709.0,565.0,3907.0,880.0,4654.0,1688.0,3711.0,1498.0,2032.0,2050.0,1652.0,3315.0,1141.0,3389.0,862.0,3125.0,3087.0,719.0,244.0,3177.0,2151.0,3969.0,3486.0,583.0,1415.0,2542.0,1783.0,4211.0,1127.0,1637.0,232.0,1604.0,2304.0,1174.0,1966.0,297.0,3284.0,1661.0,1072.0,1419.0,1148.0,403.0,729.0,148.0,76.0,155.0,85.0,233.0,17.0,146.0,108.0,118.0,228.0,74.0,62.0,81.0,72.0,53.0,71.0,70.0,74.0,38.0,55.0,44.0,80.0,43.0,48.0,49.0,43.0,61.0,30.0,101.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214.0,24.0,108.0,255.0,107.0,865.0,931.0,537.0,719.0,2798.0,474.0,1667.0,3905.0,40.0,76.0,6212.0,76.0,2088.0,1947.0,1360.0,671.0,4691.0,1791.0,781.0,780.0,905.0,1056.0,1814.0,819.0,2579.0,2480.0,1734.0,481.0,3637.0,288.0,4062.0,588.0,2354.0,951.0,575.0,4034.0,845.0,4868.0,3236.0,149.0,2458.0,2998.0,913.0,1636.0,2204.0,255.0,2943.0,1689.0,1272.0,746.0,5082.0,1561.0,1187.0,1228.0,895.0,3749.0,2747.0,567.0,1074.0,1610.0,3121.0,3112.0,1063.0,1645.0,2300.0,1122.0,2722.0,745.0,1662.0,2398.0,2297.0,1127.0,1841.0,1497.0,957.0,665.0,1981.0,1351.0,304.0,475.0,462.0,534.0,156.0,166.0,392.0,130.0,37.0,64.0,120.0,78.0,73.0,55.0,67.0,30.0,59.0,80.0,79.0,30.0,122.0,41.0,78.0,37.0,80.0,34.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
