0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
288.0,1492.0,145.0,959.0,372.0,4869.0,16.0,5552.0,168.0,1559.0,3591.0,1511.0,2222.0,12.0,5707.0,82.0,1988.0,1633.0,4321.0,3614.0,2957.0,354.0,3771.0,688.0,1250.0,1164.0,932.0,2688.0,1457.0,2615.0,2295.0,936.0,1564.0,1433.0,3640.0,6099.0,1840.0,3867.0,1743.0,1160.0,2067.0,1562.0,1502.0,5728.0,216.0,3898.0,2939.0,505.0,4817.0,1429.0,5731.0,1941.0,2159.0,2201.0,1909.0,705.0,924.0,3463.0,2836.0,769.0,1068.0,69.0,174.0,61.0,177.0,32.0,138.0,43.0,142.0,165.0,131.0,49.0,75.0,49.0,54.0,115.0,32.0,120.0,43.0,148.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1767.0,177.0,1823.0,390.0,1221.0,910.0,1099.0,5018.0,82.0,3673.0,2061.0,665.0,430.0,4992.0,2132.0,1409.0,5091.0,890.0,350.0,2462.0,2630.0,1387.0,436.0,2329.0,1060.0,1038.0,1443.0,3404.0,1356.0,639.0,2379.0,2489.0,801.0,581.0,2658.0,1166.0,3211.0,2545.0,1304.0,4629.0,139.0,3029.0,2544.0,3010.0,566.0,3082.0,1779.0,2162.0,1367.0,4499.0,784.0,234.0,1047.0,583.0,4064.0,1789.0,1289.0,2779.0,603.0,1325.0,1250.0,1399.0,1031.0,1659.0,2367.0,541.0,81.0,159.0,57.0,158.0,25.0,142.0,49.0,146.0,33.0,76.0,58.0,62.0,113.0,63.0,120.0,36.0,152.0,43.0,172.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1258.0,71.0,550.0,1512.0,62.0,491.0,2085.0,169.0,1883.0,1325.0,1776.0,840.0,3223.0,1694.0,1094.0,3090.0,4456.0,1131.0,2170.0,251.0,4251.0,236.0,2590.0,1188.0,1466.0,907.0,6153.0,1734.0,535.0,2610.0,305.0,1067.0,2268.0,685.0,5023.0,1244.0,3550.0,126.0,3366.0,775.0,1171.0,2466.0,2568.0,1033.0,2410.0,6813.0,1888.0,4538.0,887.0,4635.0,1902.0,768.0,2146.0,3290.0,1294.0,893.0,1407.0,3562.0,1234.0,204.0,915.0,209.0,946.0,427.0,48.0,110.0,49.0,83.0,92.0,37.0,94.0,51.0,148.0,44.0,143.0,59.0,110.0,40.0,139.0,23.0,85.0,47.0,67.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376.0,233.0,901.0,28.0,905.0,45.0,544.0,998.0,356.0,393.0,2120.0,2716.0,1652.0,233.0,2821.0,488.0,1593.0,416.0,2270.0,1743.0,2467.0,2024.0,1050.0,3198.0,1255.0,1844.0,307.0,1895.0,1791.0,2723.0,876.0,2969.0,203.0,2372.0,572.0,1051.0,502.0,911.0,1736.0,2508.0,1209.0,2936.0,1700.0,1722.0,3149.0,1416.0,4748.0,1740.0,611.0,3146.0,167.0,1544.0,2291.0,2574.0,496.0,3568.0,2005.0,697.0,1846.0,1761.0,2148.0,869.0,1131.0,410.0,3281.0,2469.0,335.0,148.0,180.0,54.0,177.0,46.0,118.0,51.0,76.0,35.0,45.0,87.0,47.0,143.0,29.0,137.0,36.0,154.0,39.0,124.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486.0,105.0,454.0,374.0,490.0,684.0,860.0,624.0,454.0,1606.0,2217.0,305.0,5247.0,114.0,3003.0,1104.0,491.0,2864.0,698.0,1274.0,1497.0,2469.0,1362.0,586.0,2067.0,2192.0,941.0,901.0,508.0,5773.0,2159.0,821.0,1343.0,879.0,2316.0,927.0,3106.0,859.0,3300.0,365.0,1317.0,783.0,1447.0,2281.0,465.0,687.0,1533.0,2831.0,1742.0,1159.0,2136.0,3037.0,4136.0,102.0,1856.0,1008.0,284.0,4231.0,2378.0,1840.0,1867.0,1040.0,3081.0,787.0,2067.0,436.0,888.0,668.0,747.0,592.0,374.0,412.0,559.0,122.0,123.0,36.0,75.0,69.0,46.0,115.0,31.0,163.0,36.0,149.0,32.0,171.0,33.0,145.0,33.0,113.0,32.0,60.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403.0,21.0,246.0,46.0,280.0,140.0,119.0,953.0,1173.0,211.0,338.0,1675.0,279.0,1899.0,1932.0,820.0,2743.0,752.0,1533.0,101.0,2582.0,91.0,895.0,449.0,1506.0,1012.0,201.0,1921.0,240.0,1492.0,1535.0,916.0,232.0,655.0,1561.0,416.0,2230.0,4297.0,720.0,1153.0,1149.0,3833.0,3064.0,2436.0,1092.0,2416.0,3197.0,137.0,1220.0,3012.0,1191.0,4835.0,1920.0,2713.0,3184.0,922.0,894.0,2940.0,566.0,2223.0,704.0,2288.0,3403.0,2747.0,361.0,2386.0,3746.0,1053.0,1413.0,1031.0,2401.0,1233.0,320.0,575.0,49.0,317.0,96.0,103.0,46.0,149.0,32.0,109.0,33.0,87.0,67.0,42.0,108.0,53.0,119.0,35.0,129.0,38.0,162.0,40.0,157.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295.0,395.0,97.0,378.0,410.0,426.0,1032.0,100.0,1250.0,291.0,372.0,2421.0,571.0,808.0,1635.0,3496.0,599.0,381.0,3101.0,595.0,897.0,1292.0,912.0,720.0,2514.0,997.0,825.0,662.0,1299.0,1392.0,1286.0,1227.0,1530.0,3264.0,2043.0,1764.0,1142.0,1581.0,1349.0,1885.0,1030.0,447.0,1332.0,1008.0,1657.0,766.0,2606.0,2587.0,1469.0,2247.0,1786.0,2991.0,1784.0,2133.0,3323.0,530.0,4809.0,3042.0,1248.0,1856.0,216.0,2729.0,2397.0,1819.0,732.0,4100.0,1546.0,659.0,2208.0,1735.0,1667.0,591.0,209.0,146.0,1473.0,685.0,158.0,132.0,38.0,149.0,45.0,97.0,31.0,50.0,55.0,47.0,110.0,33.0,146.0,39.0,123.0,32.0,158.0,33.0,134.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492.0,64.0,660.0,833.0,175.0,1477.0,816.0,817.0,1081.0,309.0,3516.0,1215.0,1693.0,636.0,2313.0,1309.0,3430.0,946.0,2920.0,1209.0,303.0,1489.0,1924.0,486.0,3553.0,701.0,1787.0,2034.0,1027.0,5063.0,216.0,2047.0,458.0,867.0,1973.0,754.0,1911.0,5321.0,1961.0,1079.0,1176.0,3539.0,2257.0,1216.0,1586.0,2457.0,2448.0,2749.0,1835.0,2049.0,4888.0,40.0,2681.0,1330.0,3063.0,519.0,3298.0,274.0,631.0,2272.0,246.0,4126.0,2013.0,1234.0,3666.0,2047.0,596.0,1927.0,880.0,406.0,242.0,961.0,268.0,434.0,879.0,229.0,210.0,84.0,46.0,122.0,34.0,167.0,24.0,148.0,37.0,174.0,36.0,148.0,48.0,88.0,31.0,63.0,71.0,42.0,127.0,39.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553.0,253.0,331.0,152.0,1266.0,335.0,355.0,1018.0,326.0,1607.0,684.0,1397.0,1394.0,2298.0,723.0,2889.0,462.0,2350.0,1396.0,1112.0,2375.0,1491.0,890.0,198.0,2417.0,639.0,1733.0,905.0,1891.0,465.0,139.0,1446.0,2758.0,2152.0,3284.0,213.0,1047.0,716.0,2139.0,1007.0,3112.0,792.0,1287.0,1917.0,1863.0,2356.0,3239.0,2452.0,2150.0,189.0,4550.0,1046.0,3413.0,350.0,1441.0,3134.0,2005.0,1909.0,439.0,1102.0,578.0,1869.0,595.0,446.0,837.0,699.0,491.0,700.0,2034.0,184.0,542.0,220.0,23.0,926.0,374.0,224.0,48.0,167.0,43.0,152.0,30.0,98.0,29.0,86.0,58.0,65.0,105.0,58.0,119.0,45.0,143.0,44.0,123.0,37.0,119.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397.0,325.0,747.0,253.0,166.0,470.0,1345.0,1092.0,384.0,2397.0,1924.0,2179.0,1807.0,2638.0,1917.0,1530.0,2746.0,1941.0,1740.0,721.0,1154.0,393.0,1847.0,1539.0,2309.0,1564.0,3037.0,1331.0,241.0,2832.0,306.0,2399.0,615.0,1507.0,972.0,1349.0,806.0,3801.0,198.0,1573.0,1203.0,1591.0,2744.0,1682.0,1757.0,1654.0,1441.0,1050.0,3448.0,444.0,2392.0,434.0,1648.0,2111.0,1565.0,1740.0,2171.0,4352.0,829.0,3329.0,214.0,3221.0,2476.0,1357.0,3133.0,431.0,2308.0,299.0,2924.0,44.0,1045.0,3324.0,2782.0,2111.0,2905.0,1080.0,1454.0,375.0,994.0,257.0,68.0,128.0,69.0,168.0,29.0,152.0,33.0,177.0,54.0,102.0,29.0,91.0,47.0,48.0,89.0,45.0,124.0,32.0,158.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
