0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225
283.0,69.0,203.0,376.0,448.0,1013.0,1802.0,657.0,1655.0,1252.0,1577.0,790.0,1899.0,575.0,1101.0,2002.0,96.0,1015.0,2843.0,23.0,4439.0,1662.0,1489.0,798.0,1287.0,2580.0,167.0,1185.0,1020.0,3056.0,334.0,2803.0,178.0,1315.0,1206.0,2825.0,1455.0,953.0,906.0,1808.0,2820.0,3100.0,1072.0,771.0,3145.0,687.0,4257.0,1847.0,3646.0,3416.0,526.0,1462.0,1451.0,2678.0,1453.0,880.0,1896.0,728.0,1998.0,1895.0,801.0,1964.0,595.0,1648.0,832.0,1373.0,1344.0,248.0,2018.0,808.0,1144.0,2271.0,1644.0,616.0,1146.0,463.0,3683.0,852.0,578.0,182.0,32.0,207.0,68.0,182.0,388.0,112.0,85.0,82.0,255.0,60.0,45.0,43.0,64.0,47.0,90.0,48.0,92.0,49.0,116.0,43.0,85.0,42.0,94.0,42.0,50.0,61.0,42.0,55.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254.0,135.0,86.0,1308.0,16.0,1407.0,266.0,413.0,841.0,1693.0,240.0,1513.0,817.0,1299.0,1601.0,1017.0,1232.0,2489.0,768.0,129.0,2404.0,1205.0,620.0,965.0,1015.0,832.0,1715.0,297.0,2165.0,627.0,1029.0,2959.0,833.0,1596.0,1422.0,1141.0,884.0,787.0,1916.0,198.0,2084.0,1810.0,3229.0,1059.0,2551.0,1277.0,469.0,1501.0,1684.0,913.0,1495.0,1655.0,760.0,2177.0,4072.0,305.0,1260.0,1052.0,1372.0,2817.0,878.0,903.0,1507.0,3046.0,1409.0,675.0,2194.0,2035.0,732.0,2969.0,808.0,572.0,1976.0,509.0,2102.0,781.0,2201.0,1023.0,285.0,276.0,783.0,345.0,186.0,43.0,78.0,42.0,53.0,71.0,88.0,107.0,43.0,395.0,68.0,179.0,52.0,110.0,85.0,94.0,36.0,49.0,61.0,60.0,77.0,39.0,92.0,57.0,101.0,62.0,100.0,47.0,113.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448.0,194.0,438.0,484.0,934.0,135.0,506.0,965.0,771.0,1089.0,653.0,890.0,1264.0,2617.0,365.0,1797.0,215.0,2970.0,336.0,1863.0,157.0,839.0,1214.0,1726.0,851.0,2070.0,486.0,2416.0,760.0,2923.0,424.0,2621.0,377.0,949.0,2290.0,389.0,2132.0,851.0,3909.0,477.0,1140.0,3461.0,1421.0,1240.0,2282.0,453.0,762.0,1373.0,397.0,2163.0,2361.0,1670.0,1782.0,1738.0,733.0,1845.0,2009.0,2451.0,1790.0,2202.0,2039.0,1477.0,223.0,917.0,2315.0,1423.0,5032.0,962.0,1806.0,2947.0,2199.0,1637.0,704.0,844.0,1497.0,1337.0,4666.0,1572.0,887.0,1951.0,1343.0,752.0,677.0,2900.0,1420.0,702.0,630.0,129.0,502.0,24.0,160.0,39.0,110.0,148.0,56.0,110.0,132.0,120.0,42.0,74.0,76.0,65.0,38.0,56.0,36.0,58.0,63.0,45.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291.0,893.0,220.0,711.0,642.0,1123.0,217.0,870.0,731.0,1196.0,2170.0,2957.0,1173.0,2569.0,1573.0,493.0,2410.0,1491.0,4610.0,1458.0,1131.0,703.0,1712.0,1224.0,1846.0,1650.0,1675.0,1284.0,82.0,1606.0,1688.0,496.0,913.0,1134.0,795.0,2745.0,1200.0,699.0,794.0,673.0,2794.0,1163.0,1486.0,2739.0,2247.0,1379.0,372.0,1870.0,1993.0,1127.0,1814.0,4571.0,1027.0,1591.0,1786.0,647.0,1105.0,1959.0,1144.0,499.0,1373.0,2067.0,1815.0,1743.0,1363.0,1223.0,2038.0,972.0,1648.0,3034.0,1086.0,2400.0,3111.0,2487.0,1247.0,774.0,719.0,1232.0,541.0,816.0,870.0,90.0,124.0,64.0,138.0,53.0,128.0,78.0,55.0,57.0,65.0,72.0,42.0,115.0,61.0,92.0,42.0,81.0,60.0,96.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304.0,119.0,518.0,772.0,21.0,747.0,177.0,690.0,2001.0,129.0,1254.0,951.0,487.0,1196.0,2532.0,2085.0,3155.0,703.0,971.0,704.0,1212.0,365.0,514.0,1410.0,1045.0,2538.0,285.0,399.0,1177.0,1024.0,3592.0,1124.0,1087.0,2374.0,1274.0,1210.0,1079.0,798.0,4046.0,1540.0,2377.0,1835.0,1295.0,414.0,1509.0,2659.0,685.0,2214.0,2338.0,1206.0,3379.0,2903.0,565.0,2685.0,180.0,1711.0,1046.0,2155.0,2425.0,887.0,1314.0,2592.0,786.0,3107.0,3819.0,706.0,2214.0,3838.0,3921.0,1968.0,570.0,1884.0,1111.0,2151.0,576.0,904.0,2365.0,202.0,1307.0,1185.0,388.0,1090.0,260.0,279.0,99.0,78.0,284.0,49.0,120.0,61.0,78.0,54.0,152.0,66.0,107.0,63.0,88.0,66.0,82.0,50.0,71.0,49.0,41.0,71.0,42.0,82.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,366.0,150.0,578.0,937.0,191.0,704.0,501.0,646.0,885.0,4364.0,419.0,1144.0,1752.0,390.0,980.0,1817.0,646.0,3149.0,214.0,598.0,2406.0,1679.0,2876.0,705.0,1502.0,580.0,1142.0,1570.0,1217.0,1244.0,2543.0,281.0,1217.0,1402.0,842.0,799.0,2414.0,512.0,2532.0,1751.0,719.0,536.0,3415.0,2014.0,839.0,784.0,678.0,1489.0,2043.0,937.0,2246.0,884.0,2391.0,2204.0,1447.0,2895.0,739.0,1894.0,1246.0,2113.0,807.0,1513.0,1047.0,1544.0,694.0,586.0,323.0,2347.0,724.0,1487.0,784.0,1457.0,237.0,863.0,3224.0,2287.0,2455.0,787.0,1543.0,597.0,3968.0,2120.0,786.0,1006.0,78.0,1448.0,1097.0,568.0,768.0,424.0,216.0,134.0,394.0,157.0,355.0,40.0,53.0,49.0,97.0,44.0,91.0,51.0,95.0,59.0,83.0,54.0,77.0,45.0,54.0,58.0,48.0,70.0,57.0,83.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610.0,615.0,477.0,892.0,616.0,1342.0,1262.0,1234.0,2556.0,2619.0,1303.0,35.0,1196.0,691.0,922.0,969.0,719.0,1272.0,419.0,990.0,1749.0,658.0,1373.0,2822.0,926.0,1163.0,1211.0,1524.0,161.0,1241.0,2210.0,1653.0,979.0,504.0,637.0,1110.0,1041.0,3058.0,1295.0,592.0,919.0,1948.0,723.0,1772.0,2332.0,1410.0,479.0,1025.0,1065.0,843.0,1058.0,1342.0,1794.0,1029.0,1827.0,481.0,506.0,1026.0,3095.0,2843.0,1884.0,1611.0,1268.0,682.0,402.0,1206.0,601.0,1228.0,1287.0,848.0,303.0,738.0,826.0,590.0,1650.0,273.0,1344.0,638.0,610.0,1274.0,1150.0,450.0,610.0,629.0,742.0,296.0,174.0,175.0,93.0,332.0,72.0,163.0,78.0,52.0,93.0,54.0,104.0,68.0,102.0,358.0,62.0,48.0,97.0,40.0,56.0,45.0,42.0,64.0,42.0,80.0,50.0,99.0,53.0,93.0,40.0,107.0,45.0,85.0,49.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252.0,258.0,148.0,209.0,253.0,276.0,466.0,210.0,563.0,906.0,206.0,1356.0,274.0,357.0,2150.0,282.0,2973.0,916.0,825.0,1148.0,1034.0,1020.0,1170.0,1154.0,479.0,907.0,1389.0,1662.0,620.0,1530.0,1222.0,314.0,903.0,2929.0,1666.0,1150.0,846.0,2584.0,377.0,998.0,1439.0,1171.0,1112.0,1428.0,1935.0,1219.0,2372.0,996.0,1002.0,710.0,778.0,1253.0,2222.0,662.0,1649.0,1254.0,560.0,2717.0,585.0,1156.0,1476.0,752.0,3004.0,327.0,1088.0,854.0,2482.0,751.0,1582.0,2535.0,74.0,1430.0,1542.0,524.0,1190.0,1356.0,737.0,1329.0,3593.0,344.0,1295.0,905.0,665.0,1380.0,977.0,1928.0,175.0,3741.0,1615.0,1674.0,465.0,510.0,1252.0,1307.0,1110.0,600.0,1292.0,838.0,468.0,998.0,359.0,213.0,98.0,263.0,70.0,125.0,111.0,41.0,579.0,57.0,361.0,118.0,103.0,598.0,51.0,58.0,48.0,74.0,69.0,47.0,86.0,67.0,85.0,52.0,123.0,44.0,103.0,53.0,56.0,43.0,40.0,71.0,34.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674.0,277.0,544.0,176.0,580.0,575.0,616.0,391.0,1706.0,450.0,2510.0,1506.0,1539.0,622.0,1295.0,1110.0,458.0,1340.0,349.0,2982.0,921.0,897.0,522.0,597.0,2287.0,1740.0,70.0,1208.0,412.0,3390.0,980.0,2001.0,613.0,1080.0,396.0,2130.0,625.0,3399.0,490.0,968.0,952.0,1090.0,518.0,1572.0,1900.0,531.0,2832.0,1168.0,1863.0,2288.0,1151.0,1590.0,2287.0,3231.0,3597.0,1597.0,1025.0,2067.0,5697.0,3877.0,257.0,3209.0,157.0,2995.0,718.0,1300.0,1640.0,917.0,3357.0,1401.0,2318.0,2289.0,1399.0,3629.0,5363.0,1394.0,981.0,1776.0,354.0,2753.0,2504.0,2016.0,1673.0,1623.0,1027.0,2104.0,1499.0,2175.0,1108.0,3833.0,868.0,1966.0,4759.0,2945.0,3092.0,1557.0,1125.0,2777.0,5450.0,2488.0,481.0,550.0,775.0,1804.0,855.0,183.0,67.0,73.0,132.0,144.0,41.0,82.0,546.0,35.0,101.0,42.0,113.0,66.0,96.0,41.0,62.0,43.0,46.0,52.0,56.0,77.0,47.0,105.0,66.0,79.0,86.0,119.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259.0,250.0,124.0,614.0,18.0,982.0,399.0,3074.0,245.0,1574.0,1580.0,1196.0,1007.0,1278.0,1829.0,1583.0,463.0,893.0,3981.0,1440.0,1138.0,327.0,639.0,2962.0,1719.0,1378.0,2996.0,619.0,1606.0,2922.0,428.0,2161.0,977.0,3547.0,1667.0,1638.0,1550.0,1431.0,635.0,2043.0,1700.0,4482.0,2123.0,3100.0,1207.0,678.0,1191.0,806.0,1814.0,2127.0,260.0,2078.0,1004.0,991.0,1143.0,1118.0,1752.0,1474.0,1763.0,71.0,1698.0,2297.0,469.0,1078.0,619.0,2175.0,3650.0,69.0,2367.0,1364.0,2781.0,1351.0,511.0,1587.0,848.0,2131.0,1943.0,2244.0,1619.0,736.0,722.0,1494.0,366.0,1277.0,1222.0,1001.0,582.0,309.0,326.0,596.0,513.0,1003.0,503.0,676.0,187.0,903.0,521.0,446.0,150.0,79.0,73.0,128.0,59.0,369.0,75.0,193.0,184.0,77.0,83.0,69.0,40.0,51.0,73.0,47.0,78.0,64.0,96.0,31.0,103.0,55.0,95.0,61.0,104.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
