0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
551.0,150.0,322.0,1950.0,273.0,1609.0,558.0,2492.0,2232.0,1222.0,1481.0,1248.0,2309.0,610.0,3199.0,1778.0,2541.0,1770.0,1360.0,1910.0,1368.0,1728.0,913.0,301.0,3916.0,1804.0,2183.0,1686.0,1139.0,1350.0,2070.0,1079.0,2021.0,1589.0,3032.0,2176.0,1882.0,1118.0,2581.0,1231.0,2752.0,1396.0,1528.0,3491.0,1904.0,1096.0,2065.0,3069.0,1055.0,3601.0,1125.0,2083.0,2314.0,2332.0,1294.0,1091.0,1001.0,2993.0,2244.0,2300.0,644.0,1082.0,2909.0,2260.0,1589.0,1525.0,1041.0,2804.0,3024.0,1095.0,1423.0,405.0,291.0,441.0,127.0,50.0,148.0,37.0,64.0,381.0,36.0,74.0,69.0,53.0,47.0,220.0,385.0,351.0,239.0,56.0,62.0,46.0,62.0,114.0,57.0,247.0,127.0,80.0,100.0,58.0,54.0,40.0,57.0,57.0,38.0,37.0,38.0,34.0,79.0,89.0,77.0,53.0,34.0,42.0,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1116.0,515.0,529.0,173.0,1195.0,882.0,1407.0,1349.0,254.0,1135.0,1771.0,1083.0,1291.0,1442.0,757.0,1367.0,3234.0,1495.0,676.0,1074.0,1852.0,325.0,1908.0,289.0,2691.0,653.0,1278.0,646.0,356.0,3528.0,1706.0,245.0,862.0,776.0,2456.0,663.0,1708.0,1204.0,944.0,3002.0,1153.0,898.0,1783.0,440.0,1840.0,2068.0,1401.0,1353.0,1470.0,2364.0,1233.0,1181.0,1336.0,352.0,1980.0,1927.0,1837.0,3176.0,794.0,5453.0,1214.0,1147.0,1197.0,1087.0,1500.0,1758.0,815.0,954.0,2344.0,886.0,3403.0,1544.0,488.0,574.0,441.0,347.0,125.0,86.0,52.0,232.0,107.0,79.0,74.0,67.0,598.0,74.0,99.0,113.0,362.0,82.0,39.0,237.0,264.0,92.0,75.0,60.0,43.0,34.0,67.0,49.0,37.0,52.0,32.0,57.0,48.0,47.0,42.0,43.0,58.0,48.0,48.0,43.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563.0,100.0,1274.0,1690.0,828.0,1463.0,522.0,3476.0,306.0,2723.0,530.0,1998.0,2433.0,1234.0,2034.0,1181.0,583.0,1421.0,674.0,2030.0,1979.0,1486.0,1174.0,2247.0,685.0,1497.0,1492.0,3625.0,2541.0,941.0,1334.0,1569.0,2190.0,1176.0,1546.0,750.0,1918.0,1060.0,623.0,1346.0,2044.0,2527.0,1092.0,2262.0,500.0,1119.0,1590.0,1774.0,822.0,2145.0,1020.0,1686.0,1297.0,1932.0,1242.0,2187.0,803.0,2034.0,2469.0,2243.0,1530.0,2758.0,765.0,3797.0,2818.0,2735.0,3154.0,631.0,2056.0,1692.0,878.0,3160.0,1324.0,798.0,355.0,370.0,794.0,228.0,2534.0,796.0,218.0,140.0,226.0,186.0,190.0,318.0,129.0,204.0,316.0,257.0,67.0,116.0,421.0,129.0,529.0,678.0,46.0,247.0,74.0,179.0,63.0,46.0,53.0,35.0,50.0,47.0,51.0,40.0,45.0,48.0,55.0,60.0,49.0,61.0,52.0,36.0,46.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409.0,186.0,717.0,1637.0,634.0,1434.0,1906.0,1967.0,1555.0,2211.0,1007.0,4009.0,668.0,2770.0,1625.0,2994.0,624.0,1415.0,1550.0,874.0,1528.0,687.0,725.0,378.0,817.0,1032.0,683.0,1132.0,2887.0,1322.0,406.0,1963.0,831.0,1001.0,2744.0,1124.0,1519.0,1371.0,874.0,1237.0,1067.0,382.0,3092.0,2592.0,1985.0,1403.0,994.0,1933.0,585.0,1498.0,1397.0,1263.0,1597.0,2985.0,799.0,675.0,873.0,3519.0,1920.0,1010.0,1408.0,2770.0,1512.0,962.0,694.0,695.0,1582.0,3951.0,1005.0,1612.0,3300.0,1373.0,567.0,801.0,1448.0,3265.0,927.0,784.0,2028.0,1162.0,1944.0,1300.0,850.0,450.0,488.0,2796.0,1180.0,1158.0,817.0,114.0,462.0,342.0,126.0,181.0,124.0,123.0,59.0,50.0,56.0,36.0,54.0,574.0,147.0,349.0,222.0,111.0,228.0,62.0,36.0,61.0,83.0,58.0,212.0,50.0,60.0,54.0,48.0,66.0,45.0,62.0,67.0,99.0,44.0,179.0,129.0,31.0,51.0,45.0,33.0,55.0,48.0,55.0,61.0
251.0,1450.0,551.0,629.0,1329.0,235.0,868.0,1407.0,688.0,1365.0,1929.0,733.0,1378.0,2227.0,1706.0,2791.0,523.0,1783.0,1722.0,876.0,818.0,670.0,1228.0,1772.0,1248.0,1446.0,618.0,1367.0,1248.0,825.0,2051.0,960.0,613.0,705.0,1650.0,1028.0,794.0,1857.0,639.0,1075.0,633.0,718.0,1442.0,620.0,737.0,1884.0,1886.0,592.0,1265.0,1133.0,570.0,1274.0,1467.0,538.0,1176.0,2773.0,1274.0,1617.0,381.0,1012.0,1655.0,2175.0,1240.0,1048.0,668.0,899.0,874.0,936.0,1475.0,1146.0,1499.0,1747.0,484.0,1205.0,1838.0,1370.0,862.0,2324.0,924.0,1103.0,460.0,1126.0,392.0,213.0,102.0,222.0,206.0,33.0,44.0,48.0,214.0,50.0,71.0,287.0,153.0,82.0,113.0,106.0,148.0,47.0,49.0,53.0,118.0,221.0,63.0,65.0,60.0,61.0,89.0,55.0,64.0,42.0,63.0,38.0,46.0,54.0,52.0,34.0,46.0,64.0,49.0,70.0,74.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914.0,203.0,646.0,1376.0,675.0,770.0,1059.0,617.0,2111.0,841.0,1888.0,1955.0,880.0,1221.0,433.0,521.0,2435.0,571.0,1066.0,782.0,907.0,1433.0,555.0,1011.0,1170.0,523.0,1358.0,600.0,1387.0,915.0,1626.0,1451.0,1072.0,1227.0,1374.0,732.0,1778.0,2180.0,2188.0,597.0,2117.0,1538.0,1084.0,1347.0,1985.0,1079.0,994.0,1111.0,855.0,3951.0,2873.0,981.0,1353.0,1103.0,1482.0,1416.0,1361.0,1009.0,1532.0,1494.0,2193.0,242.0,1780.0,985.0,1737.0,1560.0,1509.0,1487.0,683.0,608.0,1201.0,589.0,1862.0,513.0,961.0,1951.0,2255.0,1211.0,1391.0,2069.0,898.0,1685.0,1489.0,744.0,1314.0,1372.0,739.0,1742.0,882.0,614.0,132.0,333.0,78.0,205.0,73.0,51.0,36.0,99.0,276.0,409.0,290.0,62.0,115.0,63.0,159.0,179.0,105.0,326.0,173.0,52.0,164.0,50.0,50.0,70.0,49.0,59.0,76.0,44.0,48.0,50.0,51.0,72.0,69.0,37.0,52.0,45.0,48.0,43.0,0.0,0.0,0.0,0.0,0.0
1762.0,686.0,739.0,457.0,446.0,2054.0,793.0,2182.0,1018.0,3397.0,772.0,1150.0,4675.0,2230.0,2341.0,581.0,1589.0,1079.0,1599.0,1445.0,2493.0,884.0,334.0,1071.0,1083.0,455.0,1721.0,2641.0,962.0,1926.0,994.0,360.0,2837.0,1236.0,1120.0,1051.0,1138.0,2213.0,401.0,1095.0,2005.0,1773.0,1082.0,1138.0,1952.0,1255.0,2119.0,1226.0,1595.0,1205.0,2751.0,971.0,1286.0,1887.0,2412.0,1385.0,1183.0,1228.0,1753.0,411.0,2289.0,651.0,1031.0,707.0,1544.0,941.0,2223.0,2222.0,1122.0,507.0,1046.0,2880.0,1181.0,1589.0,1451.0,1874.0,1344.0,483.0,841.0,811.0,1447.0,602.0,786.0,296.0,542.0,1492.0,701.0,287.0,333.0,90.0,485.0,105.0,331.0,65.0,64.0,78.0,88.0,244.0,103.0,420.0,100.0,163.0,215.0,230.0,318.0,37.0,230.0,117.0,51.0,54.0,53.0,51.0,67.0,45.0,61.0,55.0,44.0,39.0,83.0,63.0,62.0,60.0,44.0,63.0,56.0,63.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
414.0,735.0,1419.0,161.0,2340.0,491.0,1604.0,863.0,239.0,1604.0,2795.0,383.0,3828.0,821.0,721.0,1077.0,779.0,1779.0,1140.0,2013.0,704.0,1097.0,1119.0,721.0,1082.0,1269.0,1044.0,2324.0,737.0,949.0,2285.0,1592.0,464.0,1311.0,1594.0,1427.0,1204.0,1265.0,800.0,1912.0,905.0,2761.0,942.0,1618.0,2407.0,268.0,2215.0,1378.0,1250.0,1108.0,1104.0,1409.0,1958.0,443.0,1445.0,1431.0,776.0,2034.0,843.0,2271.0,586.0,1500.0,1083.0,1792.0,1937.0,1082.0,1726.0,968.0,773.0,4133.0,1914.0,819.0,1542.0,851.0,2463.0,1139.0,2284.0,1697.0,1927.0,1710.0,2249.0,704.0,662.0,951.0,716.0,1615.0,702.0,307.0,1838.0,558.0,633.0,203.0,68.0,83.0,75.0,413.0,70.0,83.0,204.0,160.0,554.0,365.0,193.0,56.0,112.0,49.0,63.0,49.0,42.0,59.0,45.0,49.0,73.0,71.0,69.0,70.0,60.0,70.0,43.0,70.0,49.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304.0,1468.0,334.0,742.0,802.0,837.0,1537.0,1011.0,1858.0,690.0,1319.0,1670.0,587.0,1943.0,1167.0,1817.0,2141.0,1731.0,1632.0,1074.0,898.0,569.0,858.0,1289.0,2127.0,724.0,1177.0,1868.0,607.0,864.0,565.0,1638.0,1582.0,2395.0,545.0,1043.0,2000.0,2548.0,1299.0,1287.0,883.0,662.0,1213.0,1329.0,1585.0,856.0,1243.0,872.0,863.0,516.0,1440.0,753.0,2060.0,1469.0,3580.0,741.0,1623.0,1422.0,432.0,2801.0,911.0,1328.0,1497.0,1542.0,3024.0,1110.0,1831.0,1816.0,1621.0,1132.0,2974.0,786.0,1399.0,1472.0,1919.0,1006.0,1327.0,3042.0,535.0,1032.0,240.0,407.0,556.0,870.0,930.0,809.0,593.0,127.0,88.0,90.0,62.0,38.0,216.0,281.0,150.0,148.0,208.0,130.0,194.0,192.0,26.0,301.0,143.0,98.0,41.0,197.0,210.0,42.0,56.0,75.0,46.0,35.0,70.0,37.0,75.0,46.0,51.0,69.0,78.0,64.0,51.0,58.0,48.0,72.0,92.0,51.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
928.0,415.0,2350.0,882.0,1186.0,2519.0,808.0,1611.0,825.0,1469.0,802.0,1322.0,2281.0,1652.0,1110.0,856.0,1451.0,297.0,4177.0,561.0,1695.0,1376.0,608.0,2595.0,589.0,1102.0,1112.0,2312.0,567.0,2689.0,959.0,1426.0,2089.0,2870.0,467.0,3484.0,1381.0,1702.0,2669.0,1882.0,4893.0,1491.0,1516.0,1909.0,649.0,3770.0,3038.0,968.0,2423.0,905.0,2491.0,947.0,1756.0,1796.0,1229.0,1113.0,1505.0,4108.0,2748.0,1459.0,1892.0,706.0,2235.0,1575.0,2019.0,2180.0,1989.0,2022.0,1615.0,3686.0,1383.0,1735.0,2016.0,2607.0,1910.0,1108.0,1249.0,3553.0,1841.0,1291.0,1589.0,1610.0,801.0,570.0,1187.0,1664.0,371.0,333.0,407.0,842.0,711.0,315.0,247.0,407.0,164.0,74.0,111.0,153.0,120.0,109.0,109.0,350.0,129.0,63.0,81.0,69.0,56.0,55.0,144.0,186.0,68.0,56.0,51.0,63.0,59.0,43.0,56.0,45.0,74.0,40.0,61.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
