0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
366.0,158.0,908.0,21.0,468.0,882.0,45.0,567.0,378.0,814.0,829.0,373.0,668.0,456.0,837.0,591.0,571.0,665.0,556.0,430.0,1454.0,684.0,1034.0,605.0,944.0,345.0,817.0,610.0,1531.0,744.0,359.0,399.0,1061.0,811.0,336.0,518.0,1138.0,1023.0,400.0,1461.0,1339.0,1382.0,1154.0,462.0,1193.0,401.0,782.0,613.0,681.0,789.0,491.0,609.0,531.0,1078.0,1056.0,946.0,592.0,482.0,324.0,304.0,772.0,533.0,571.0,284.0,1027.0,182.0,79.0,50.0,171.0,116.0,170.0,289.0,197.0,21.0,82.0,122.0,119.0,84.0,66.0,87.0,65.0,96.0,65.0,86.0,56.0,81.0,46.0,67.0,33.0,61.0,77.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279.0,119.0,401.0,520.0,537.0,235.0,682.0,535.0,459.0,525.0,35.0,767.0,329.0,809.0,916.0,128.0,319.0,640.0,514.0,249.0,313.0,1220.0,676.0,362.0,314.0,681.0,520.0,517.0,957.0,693.0,803.0,491.0,416.0,868.0,692.0,870.0,785.0,791.0,2197.0,429.0,1158.0,37.0,1261.0,1967.0,599.0,971.0,310.0,1418.0,854.0,1059.0,1314.0,1381.0,1747.0,831.0,329.0,677.0,1026.0,800.0,1350.0,651.0,1317.0,396.0,1081.0,1185.0,315.0,899.0,810.0,754.0,46.0,202.0,285.0,228.0,33.0,275.0,120.0,123.0,80.0,89.0,201.0,80.0,96.0,79.0,107.0,88.0,83.0,75.0,49.0,50.0,73.0,49.0,76.0,92.0,51.0,53.0,83.0,100.0,148.0,46.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214.0,139.0,47.0,196.0,122.0,438.0,641.0,289.0,405.0,594.0,569.0,28.0,1055.0,694.0,25.0,721.0,541.0,341.0,621.0,367.0,546.0,325.0,1073.0,163.0,820.0,186.0,699.0,711.0,554.0,514.0,282.0,1928.0,1073.0,919.0,1477.0,448.0,309.0,372.0,1449.0,517.0,1205.0,332.0,1212.0,335.0,261.0,841.0,1436.0,948.0,783.0,505.0,337.0,1262.0,406.0,309.0,534.0,833.0,747.0,728.0,61.0,399.0,643.0,366.0,234.0,302.0,1068.0,636.0,918.0,189.0,1004.0,643.0,255.0,489.0,223.0,502.0,163.0,701.0,86.0,399.0,57.0,200.0,241.0,294.0,142.0,260.0,76.0,53.0,143.0,211.0,515.0,375.0,211.0,105.0,70.0,95.0,58.0,46.0,68.0,47.0,53.0,36.0,109.0,83.0,49.0,85.0,24.0,96.0,63.0,86.0,30.0,88.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461.0,74.0,301.0,43.0,799.0,232.0,231.0,629.0,1194.0,447.0,850.0,437.0,433.0,435.0,626.0,258.0,490.0,620.0,673.0,642.0,227.0,426.0,1066.0,519.0,812.0,1240.0,713.0,117.0,1105.0,813.0,434.0,413.0,814.0,1625.0,221.0,691.0,947.0,249.0,931.0,460.0,1355.0,1130.0,224.0,1572.0,1132.0,306.0,460.0,1035.0,438.0,590.0,741.0,1065.0,794.0,187.0,602.0,698.0,1422.0,718.0,889.0,167.0,874.0,531.0,573.0,1652.0,533.0,377.0,476.0,1937.0,121.0,296.0,656.0,241.0,195.0,29.0,654.0,68.0,120.0,258.0,79.0,384.0,112.0,13.0,209.0,68.0,45.0,110.0,96.0,91.0,25.0,82.0,39.0,453.0,38.0,92.0,38.0,62.0,75.0,47.0,38.0,46.0,104.0,52.0,57.0,81.0,47.0,59.0,56.0,61.0,65.0,63.0,52.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563.0,150.0,66.0,504.0,338.0,93.0,749.0,44.0,363.0,363.0,342.0,291.0,425.0,1322.0,187.0,807.0,233.0,129.0,825.0,823.0,502.0,375.0,366.0,357.0,826.0,361.0,447.0,851.0,926.0,651.0,735.0,674.0,719.0,1246.0,490.0,463.0,429.0,1212.0,716.0,608.0,660.0,553.0,766.0,370.0,907.0,287.0,789.0,380.0,255.0,506.0,1397.0,370.0,700.0,661.0,886.0,914.0,775.0,682.0,723.0,1371.0,423.0,912.0,463.0,306.0,568.0,357.0,155.0,189.0,189.0,101.0,225.0,128.0,244.0,102.0,216.0,251.0,38.0,236.0,37.0,105.0,66.0,60.0,96.0,47.0,57.0,90.0,22.0,94.0,66.0,46.0,119.0,55.0,95.0,29.0,85.0,64.0,49.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351.0,34.0,267.0,529.0,91.0,530.0,163.0,286.0,918.0,331.0,587.0,708.0,163.0,442.0,361.0,1519.0,1382.0,234.0,1278.0,124.0,447.0,671.0,355.0,680.0,424.0,824.0,477.0,598.0,513.0,463.0,930.0,144.0,318.0,859.0,778.0,947.0,544.0,826.0,141.0,458.0,347.0,576.0,921.0,390.0,475.0,752.0,794.0,248.0,966.0,767.0,657.0,635.0,855.0,243.0,947.0,1014.0,451.0,304.0,583.0,1915.0,826.0,311.0,519.0,91.0,565.0,274.0,354.0,71.0,77.0,347.0,64.0,77.0,126.0,108.0,342.0,224.0,69.0,69.0,52.0,48.0,154.0,54.0,78.0,39.0,87.0,54.0,74.0,59.0,41.0,86.0,116.0,41.0,65.0,69.0,39.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335.0,129.0,162.0,212.0,292.0,958.0,217.0,694.0,357.0,192.0,535.0,199.0,719.0,444.0,363.0,833.0,776.0,213.0,1013.0,648.0,413.0,452.0,725.0,344.0,680.0,484.0,390.0,188.0,758.0,815.0,667.0,309.0,858.0,1202.0,335.0,519.0,762.0,118.0,690.0,154.0,240.0,1054.0,616.0,589.0,411.0,1091.0,514.0,2072.0,360.0,745.0,1949.0,602.0,599.0,332.0,1202.0,207.0,899.0,684.0,721.0,653.0,1850.0,297.0,1401.0,419.0,754.0,486.0,749.0,364.0,181.0,79.0,66.0,76.0,69.0,268.0,350.0,209.0,72.0,795.0,66.0,127.0,91.0,49.0,123.0,82.0,41.0,57.0,34.0,110.0,46.0,37.0,62.0,36.0,45.0,44.0,61.0,119.0,49.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222.0,71.0,232.0,113.0,306.0,179.0,1065.0,72.0,453.0,530.0,169.0,584.0,466.0,446.0,1297.0,556.0,459.0,825.0,540.0,1076.0,288.0,516.0,714.0,382.0,848.0,241.0,784.0,641.0,1043.0,463.0,1041.0,485.0,1177.0,1229.0,325.0,810.0,474.0,877.0,521.0,255.0,805.0,253.0,1188.0,467.0,163.0,1259.0,563.0,1478.0,192.0,545.0,862.0,1928.0,555.0,650.0,746.0,559.0,1078.0,131.0,633.0,251.0,358.0,482.0,565.0,725.0,273.0,184.0,117.0,75.0,49.0,522.0,52.0,218.0,301.0,73.0,179.0,109.0,297.0,411.0,100.0,515.0,43.0,290.0,154.0,61.0,282.0,87.0,92.0,510.0,115.0,56.0,83.0,64.0,57.0,63.0,84.0,68.0,65.0,42.0,42.0,69.0,58.0,71.0,69.0,86.0,68.0,37.0,97.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509.0,33.0,39.0,54.0,37.0,127.0,101.0,165.0,160.0,471.0,334.0,268.0,384.0,103.0,235.0,329.0,476.0,480.0,300.0,834.0,117.0,656.0,877.0,1302.0,384.0,177.0,942.0,446.0,242.0,1216.0,216.0,442.0,641.0,214.0,850.0,252.0,795.0,205.0,385.0,454.0,531.0,943.0,153.0,830.0,451.0,495.0,536.0,1132.0,472.0,1511.0,508.0,1501.0,668.0,1099.0,1763.0,482.0,1037.0,439.0,1411.0,203.0,1823.0,928.0,707.0,888.0,565.0,250.0,1052.0,533.0,943.0,1885.0,1165.0,592.0,381.0,1233.0,847.0,403.0,224.0,401.0,122.0,107.0,100.0,249.0,79.0,828.0,324.0,119.0,234.0,236.0,300.0,104.0,81.0,56.0,162.0,58.0,107.0,42.0,89.0,124.0,63.0,73.0,59.0,63.0,57.0,48.0,67.0,43.0,46.0,84.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285.0,67.0,148.0,163.0,288.0,261.0,434.0,930.0,151.0,106.0,192.0,833.0,34.0,530.0,741.0,145.0,1003.0,100.0,619.0,427.0,294.0,549.0,436.0,581.0,750.0,115.0,843.0,409.0,505.0,203.0,804.0,467.0,832.0,708.0,436.0,883.0,289.0,154.0,482.0,518.0,1033.0,451.0,442.0,423.0,729.0,1528.0,214.0,351.0,1701.0,719.0,598.0,276.0,747.0,951.0,656.0,559.0,880.0,885.0,427.0,319.0,596.0,928.0,533.0,458.0,442.0,352.0,590.0,718.0,480.0,226.0,304.0,72.0,147.0,87.0,102.0,49.0,371.0,108.0,115.0,89.0,302.0,127.0,98.0,435.0,49.0,266.0,73.0,100.0,51.0,149.0,447.0,123.0,353.0,170.0,60.0,114.0,104.0,74.0,61.0,96.0,37.0,51.0,63.0,46.0,48.0,67.0,67.0,90.0,66.0,68.0,57.0,38.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
