0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
333.0,126.0,112.0,561.0,223.0,150.0,480.0,290.0,316.0,151.0,564.0,820.0,665.0,756.0,227.0,132.0,756.0,689.0,744.0,576.0,865.0,258.0,661.0,1424.0,213.0,629.0,611.0,799.0,421.0,455.0,306.0,1045.0,536.0,615.0,1358.0,360.0,686.0,1215.0,546.0,464.0,364.0,605.0,899.0,337.0,1079.0,590.0,656.0,778.0,213.0,433.0,1024.0,808.0,635.0,395.0,653.0,924.0,502.0,1114.0,350.0,337.0,569.0,546.0,682.0,1309.0,1039.0,369.0,295.0,548.0,1013.0,194.0,520.0,388.0,329.0,564.0,273.0,397.0,377.0,89.0,155.0,442.0,228.0,43.0,283.0,142.0,68.0,343.0,492.0,124.0,95.0,140.0,107.0,102.0,49.0,58.0,93.0,54.0,86.0,70.0,151.0,59.0,105.0,59.0,62.0,71.0,66.0,61.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.0,130.0,81.0,367.0,302.0,498.0,461.0,553.0,715.0,223.0,422.0,401.0,278.0,367.0,481.0,988.0,135.0,1155.0,245.0,990.0,292.0,560.0,192.0,1741.0,262.0,616.0,532.0,1300.0,956.0,448.0,224.0,1344.0,239.0,540.0,527.0,838.0,251.0,864.0,708.0,600.0,735.0,536.0,574.0,743.0,286.0,608.0,548.0,477.0,734.0,1454.0,1005.0,282.0,1124.0,211.0,835.0,1324.0,342.0,741.0,638.0,601.0,648.0,277.0,438.0,969.0,286.0,976.0,293.0,298.0,868.0,316.0,780.0,382.0,856.0,228.0,285.0,140.0,264.0,114.0,132.0,150.0,234.0,543.0,63.0,76.0,966.0,106.0,56.0,142.0,44.0,125.0,73.0,131.0,43.0,81.0,83.0,64.0,104.0,47.0,99.0,86.0,85.0,86.0,163.0,139.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292.0,192.0,31.0,293.0,34.0,690.0,559.0,608.0,789.0,735.0,407.0,498.0,579.0,416.0,359.0,677.0,425.0,770.0,135.0,1224.0,449.0,982.0,53.0,704.0,1117.0,71.0,401.0,451.0,379.0,892.0,124.0,777.0,492.0,370.0,461.0,700.0,462.0,540.0,208.0,482.0,383.0,1119.0,484.0,1121.0,411.0,247.0,966.0,415.0,468.0,509.0,2158.0,478.0,561.0,673.0,1127.0,518.0,372.0,823.0,587.0,814.0,302.0,282.0,1574.0,374.0,545.0,570.0,123.0,1218.0,426.0,259.0,557.0,270.0,270.0,124.0,384.0,144.0,350.0,108.0,180.0,86.0,175.0,83.0,129.0,252.0,51.0,237.0,115.0,211.0,71.0,59.0,76.0,110.0,74.0,93.0,105.0,114.0,60.0,84.0,87.0,77.0,71.0,70.0,79.0,80.0,56.0,70.0,85.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290.0,186.0,100.0,285.0,342.0,415.0,406.0,207.0,156.0,504.0,231.0,827.0,441.0,609.0,844.0,1025.0,151.0,197.0,567.0,1340.0,343.0,1209.0,696.0,250.0,465.0,844.0,376.0,876.0,44.0,1086.0,502.0,319.0,1143.0,495.0,974.0,423.0,130.0,938.0,122.0,1033.0,399.0,699.0,924.0,560.0,621.0,573.0,472.0,322.0,389.0,807.0,582.0,529.0,594.0,241.0,465.0,885.0,480.0,535.0,526.0,809.0,370.0,146.0,466.0,458.0,749.0,531.0,359.0,427.0,222.0,754.0,387.0,490.0,841.0,413.0,395.0,794.0,180.0,87.0,645.0,236.0,411.0,201.0,296.0,101.0,117.0,274.0,85.0,116.0,57.0,242.0,46.0,315.0,112.0,152.0,75.0,108.0,60.0,47.0,93.0,73.0,61.0,75.0,77.0,78.0,144.0,95.0,94.0,60.0,97.0,70.0,104.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213.0,180.0,323.0,44.0,316.0,112.0,801.0,488.0,359.0,522.0,587.0,970.0,567.0,732.0,657.0,163.0,203.0,747.0,201.0,1088.0,175.0,1113.0,190.0,913.0,997.0,988.0,580.0,431.0,567.0,873.0,589.0,241.0,437.0,745.0,399.0,451.0,453.0,556.0,504.0,587.0,519.0,954.0,460.0,652.0,530.0,566.0,354.0,337.0,122.0,687.0,296.0,342.0,1062.0,436.0,777.0,462.0,730.0,897.0,697.0,725.0,406.0,472.0,720.0,767.0,528.0,258.0,428.0,942.0,383.0,329.0,583.0,598.0,150.0,367.0,321.0,291.0,630.0,588.0,175.0,164.0,238.0,83.0,111.0,146.0,69.0,609.0,94.0,102.0,139.0,72.0,41.0,66.0,136.0,112.0,109.0,91.0,87.0,84.0,103.0,103.0,81.0,65.0,94.0,61.0,73.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676.0,63.0,66.0,453.0,306.0,214.0,725.0,463.0,777.0,984.0,396.0,244.0,228.0,342.0,640.0,455.0,150.0,1208.0,221.0,210.0,619.0,220.0,631.0,247.0,342.0,438.0,576.0,431.0,720.0,226.0,809.0,675.0,459.0,120.0,602.0,271.0,260.0,357.0,505.0,548.0,938.0,681.0,1093.0,315.0,300.0,442.0,467.0,602.0,1190.0,272.0,382.0,349.0,1356.0,358.0,1031.0,743.0,1390.0,611.0,406.0,522.0,753.0,818.0,1495.0,439.0,470.0,1305.0,368.0,345.0,412.0,365.0,1243.0,536.0,481.0,594.0,330.0,1221.0,292.0,407.0,239.0,574.0,634.0,410.0,535.0,141.0,62.0,105.0,150.0,429.0,89.0,291.0,110.0,190.0,306.0,55.0,129.0,166.0,82.0,84.0,55.0,64.0,55.0,56.0,120.0,52.0,87.0,79.0,75.0,61.0,95.0,80.0,104.0,69.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315.0,151.0,166.0,150.0,186.0,223.0,292.0,133.0,103.0,663.0,395.0,62.0,754.0,460.0,496.0,594.0,548.0,482.0,597.0,394.0,57.0,872.0,100.0,392.0,730.0,581.0,68.0,751.0,584.0,542.0,534.0,878.0,258.0,506.0,419.0,904.0,674.0,308.0,1545.0,221.0,593.0,561.0,167.0,908.0,493.0,637.0,478.0,689.0,249.0,690.0,408.0,563.0,463.0,657.0,395.0,501.0,525.0,592.0,233.0,493.0,548.0,387.0,484.0,299.0,478.0,557.0,1224.0,854.0,167.0,212.0,400.0,593.0,581.0,327.0,184.0,912.0,503.0,513.0,253.0,811.0,410.0,262.0,643.0,359.0,208.0,44.0,720.0,186.0,337.0,256.0,220.0,337.0,215.0,111.0,111.0,70.0,141.0,65.0,487.0,58.0,235.0,206.0,33.0,114.0,51.0,85.0,87.0,106.0,79.0,113.0,71.0,120.0,76.0,74.0,40.0,99.0,74.0,68.0,74.0,74.0,96.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368.0,65.0,616.0,246.0,215.0,244.0,588.0,638.0,334.0,908.0,64.0,1030.0,390.0,450.0,809.0,338.0,466.0,422.0,594.0,534.0,1060.0,362.0,289.0,472.0,629.0,803.0,353.0,330.0,436.0,1243.0,648.0,1110.0,259.0,852.0,537.0,801.0,513.0,524.0,497.0,309.0,342.0,918.0,473.0,803.0,517.0,607.0,939.0,437.0,283.0,898.0,508.0,559.0,851.0,909.0,523.0,917.0,989.0,663.0,623.0,175.0,743.0,435.0,1060.0,743.0,458.0,455.0,826.0,298.0,325.0,108.0,456.0,536.0,692.0,242.0,264.0,561.0,307.0,338.0,238.0,158.0,253.0,93.0,106.0,87.0,66.0,45.0,366.0,281.0,233.0,610.0,72.0,105.0,70.0,118.0,54.0,91.0,76.0,140.0,59.0,93.0,69.0,57.0,78.0,61.0,91.0,69.0,97.0,61.0,87.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406.0,445.0,123.0,293.0,177.0,309.0,955.0,608.0,237.0,897.0,403.0,422.0,1590.0,348.0,350.0,603.0,73.0,158.0,858.0,245.0,714.0,1050.0,173.0,1382.0,129.0,1094.0,1076.0,192.0,610.0,288.0,1023.0,197.0,720.0,266.0,396.0,460.0,295.0,358.0,2027.0,302.0,490.0,491.0,574.0,930.0,568.0,843.0,323.0,1023.0,837.0,844.0,952.0,1583.0,291.0,626.0,796.0,853.0,1001.0,133.0,648.0,485.0,692.0,469.0,328.0,633.0,1233.0,666.0,540.0,309.0,1093.0,996.0,480.0,327.0,798.0,689.0,561.0,422.0,436.0,351.0,460.0,253.0,461.0,311.0,221.0,343.0,90.0,107.0,97.0,110.0,119.0,118.0,219.0,28.0,534.0,361.0,77.0,140.0,67.0,106.0,123.0,60.0,60.0,94.0,57.0,60.0,73.0,72.0,56.0,60.0,92.0,184.0,103.0,90.0,59.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494.0,251.0,142.0,343.0,816.0,334.0,334.0,457.0,250.0,638.0,500.0,156.0,485.0,872.0,269.0,237.0,572.0,170.0,534.0,297.0,107.0,661.0,243.0,566.0,539.0,261.0,435.0,909.0,262.0,629.0,95.0,382.0,815.0,31.0,518.0,534.0,662.0,223.0,622.0,264.0,613.0,811.0,419.0,353.0,541.0,378.0,754.0,697.0,198.0,271.0,614.0,527.0,658.0,611.0,369.0,297.0,466.0,759.0,578.0,293.0,279.0,1114.0,750.0,257.0,858.0,738.0,1069.0,292.0,430.0,242.0,626.0,1403.0,327.0,139.0,411.0,139.0,450.0,228.0,135.0,88.0,122.0,75.0,166.0,35.0,201.0,262.0,114.0,119.0,82.0,125.0,128.0,91.0,59.0,88.0,61.0,48.0,73.0,66.0,76.0,60.0,101.0,56.0,90.0,68.0,62.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
