0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
449.0,30.0,127.0,470.0,351.0,137.0,814.0,551.0,385.0,311.0,981.0,849.0,876.0,1041.0,411.0,817.0,849.0,85.0,365.0,482.0,543.0,290.0,737.0,589.0,854.0,157.0,875.0,896.0,985.0,411.0,785.0,464.0,497.0,722.0,497.0,488.0,363.0,396.0,717.0,560.0,320.0,619.0,54.0,308.0,757.0,631.0,262.0,621.0,801.0,791.0,713.0,558.0,743.0,657.0,975.0,582.0,736.0,1118.0,272.0,790.0,1077.0,349.0,572.0,486.0,354.0,317.0,570.0,114.0,121.0,95.0,172.0,56.0,101.0,174.0,101.0,114.0,120.0,69.0,109.0,35.0,98.0,36.0,65.0,119.0,41.0,78.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503.0,76.0,216.0,293.0,367.0,531.0,190.0,97.0,466.0,548.0,881.0,255.0,281.0,512.0,616.0,461.0,475.0,329.0,852.0,522.0,486.0,1110.0,435.0,293.0,506.0,849.0,405.0,434.0,577.0,1059.0,208.0,621.0,1748.0,357.0,584.0,309.0,646.0,945.0,639.0,441.0,761.0,394.0,372.0,1049.0,559.0,956.0,338.0,180.0,677.0,1033.0,1065.0,562.0,720.0,240.0,126.0,1072.0,1100.0,66.0,1020.0,934.0,771.0,237.0,478.0,359.0,735.0,539.0,286.0,443.0,1102.0,566.0,146.0,88.0,225.0,168.0,52.0,95.0,297.0,161.0,284.0,85.0,207.0,152.0,103.0,57.0,102.0,68.0,82.0,55.0,100.0,43.0,90.0,38.0,57.0,44.0,74.0,85.0,88.0,94.0,75.0,106.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332.0,73.0,439.0,136.0,303.0,247.0,678.0,890.0,371.0,620.0,293.0,428.0,462.0,1048.0,396.0,438.0,134.0,196.0,1065.0,582.0,853.0,501.0,344.0,473.0,538.0,1029.0,814.0,334.0,970.0,602.0,443.0,469.0,707.0,561.0,437.0,1096.0,354.0,702.0,432.0,712.0,611.0,576.0,522.0,679.0,543.0,1036.0,1273.0,642.0,806.0,1026.0,440.0,1066.0,1882.0,410.0,583.0,964.0,535.0,768.0,414.0,195.0,1162.0,309.0,621.0,733.0,829.0,705.0,287.0,611.0,632.0,918.0,321.0,1170.0,251.0,278.0,164.0,59.0,96.0,78.0,101.0,117.0,85.0,326.0,213.0,153.0,206.0,79.0,106.0,116.0,119.0,140.0,77.0,42.0,59.0,135.0,70.0,613.0,93.0,57.0,80.0,60.0,119.0,82.0,74.0,118.0,27.0,332.0,96.0,43.0,93.0,48.0,95.0,80.0,40.0,109.0,58.0,140.0,49.0,154.0,54.0,125.0,64.0,89.0,75.0,80.0,112.0,62.0,0.0,0.0,0.0,0.0,0.0
354.0,26.0,442.0,224.0,261.0,585.0,508.0,778.0,269.0,643.0,628.0,686.0,659.0,213.0,389.0,71.0,1385.0,334.0,444.0,204.0,745.0,360.0,531.0,843.0,841.0,524.0,480.0,421.0,716.0,1244.0,305.0,238.0,806.0,977.0,571.0,711.0,652.0,720.0,914.0,161.0,361.0,775.0,586.0,210.0,694.0,244.0,462.0,410.0,536.0,1452.0,129.0,617.0,529.0,838.0,513.0,1045.0,399.0,315.0,860.0,700.0,589.0,218.0,497.0,892.0,1330.0,491.0,338.0,457.0,976.0,335.0,471.0,570.0,309.0,649.0,359.0,181.0,601.0,352.0,245.0,291.0,184.0,261.0,104.0,74.0,170.0,243.0,118.0,233.0,127.0,58.0,118.0,68.0,213.0,47.0,52.0,140.0,122.0,189.0,78.0,161.0,71.0,121.0,102.0,66.0,150.0,62.0,172.0,43.0,108.0,81.0,145.0,95.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214.0,175.0,243.0,261.0,325.0,124.0,694.0,520.0,1058.0,354.0,630.0,535.0,613.0,635.0,587.0,444.0,602.0,331.0,702.0,174.0,225.0,159.0,857.0,1239.0,214.0,467.0,1318.0,927.0,154.0,332.0,545.0,358.0,319.0,741.0,707.0,556.0,756.0,413.0,631.0,245.0,1201.0,368.0,1657.0,327.0,549.0,1105.0,1049.0,619.0,381.0,861.0,414.0,1002.0,536.0,602.0,447.0,829.0,525.0,419.0,819.0,373.0,256.0,857.0,889.0,724.0,1015.0,279.0,548.0,838.0,392.0,1059.0,335.0,391.0,972.0,162.0,702.0,286.0,1193.0,60.0,123.0,299.0,119.0,111.0,75.0,141.0,76.0,90.0,108.0,66.0,351.0,160.0,106.0,122.0,73.0,89.0,70.0,68.0,94.0,71.0,50.0,77.0,51.0,112.0,47.0,112.0,49.0,100.0,60.0,60.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231.0,204.0,169.0,140.0,609.0,424.0,504.0,569.0,264.0,226.0,280.0,629.0,208.0,197.0,277.0,750.0,546.0,737.0,167.0,275.0,639.0,382.0,488.0,506.0,848.0,62.0,1044.0,312.0,500.0,447.0,378.0,671.0,372.0,528.0,954.0,379.0,419.0,1108.0,710.0,249.0,127.0,1209.0,255.0,887.0,187.0,658.0,324.0,362.0,520.0,702.0,1167.0,399.0,722.0,287.0,552.0,308.0,1064.0,328.0,908.0,1281.0,342.0,345.0,651.0,270.0,755.0,673.0,324.0,921.0,137.0,804.0,382.0,521.0,695.0,625.0,525.0,578.0,419.0,301.0,823.0,551.0,1220.0,194.0,497.0,366.0,362.0,835.0,288.0,53.0,185.0,103.0,74.0,160.0,134.0,130.0,52.0,232.0,397.0,245.0,194.0,55.0,45.0,44.0,69.0,148.0,41.0,170.0,236.0,154.0,586.0,417.0,555.0,45.0,104.0,50.0,130.0,82.0,113.0,62.0,66.0,64.0,65.0,74.0,62.0,118.0,53.0,114.0,55.0,178.0,66.0,81.0,90.0
294.0,194.0,198.0,54.0,206.0,461.0,312.0,255.0,539.0,352.0,431.0,727.0,419.0,344.0,320.0,493.0,76.0,891.0,160.0,498.0,96.0,727.0,708.0,677.0,519.0,504.0,984.0,768.0,823.0,323.0,330.0,437.0,1048.0,1354.0,575.0,186.0,595.0,492.0,505.0,1249.0,586.0,576.0,595.0,1094.0,586.0,1361.0,409.0,768.0,794.0,298.0,534.0,692.0,734.0,437.0,402.0,590.0,320.0,369.0,932.0,191.0,1094.0,316.0,726.0,234.0,726.0,205.0,712.0,1366.0,528.0,265.0,607.0,473.0,814.0,423.0,402.0,420.0,516.0,785.0,342.0,701.0,145.0,298.0,499.0,324.0,515.0,967.0,414.0,419.0,539.0,243.0,614.0,326.0,206.0,182.0,605.0,590.0,180.0,173.0,217.0,129.0,252.0,158.0,249.0,48.0,67.0,70.0,107.0,478.0,43.0,289.0,51.0,112.0,74.0,84.0,78.0,116.0,37.0,55.0,46.0,46.0,73.0,50.0,81.0,69.0,130.0,73.0,73.0,87.0,89.0,43.0,0.0
453.0,429.0,627.0,116.0,232.0,702.0,503.0,335.0,355.0,116.0,1363.0,73.0,483.0,580.0,348.0,439.0,500.0,463.0,730.0,398.0,1532.0,44.0,387.0,295.0,1156.0,964.0,220.0,656.0,360.0,410.0,1541.0,227.0,698.0,585.0,2343.0,640.0,1159.0,1224.0,432.0,1315.0,971.0,210.0,564.0,686.0,857.0,265.0,1514.0,636.0,635.0,330.0,1098.0,966.0,386.0,2035.0,406.0,812.0,277.0,857.0,1011.0,312.0,1000.0,629.0,883.0,312.0,992.0,733.0,1280.0,518.0,712.0,704.0,110.0,442.0,1169.0,441.0,353.0,688.0,667.0,294.0,183.0,257.0,233.0,136.0,69.0,84.0,89.0,69.0,42.0,333.0,103.0,43.0,60.0,55.0,78.0,126.0,51.0,61.0,55.0,52.0,74.0,73.0,74.0,39.0,111.0,57.0,79.0,70.0,105.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252.0,128.0,135.0,325.0,167.0,150.0,1009.0,544.0,325.0,143.0,323.0,336.0,506.0,294.0,531.0,313.0,295.0,223.0,658.0,183.0,712.0,118.0,304.0,706.0,512.0,194.0,441.0,1039.0,770.0,630.0,238.0,754.0,567.0,847.0,550.0,501.0,250.0,2157.0,164.0,180.0,781.0,348.0,464.0,141.0,487.0,682.0,242.0,569.0,315.0,467.0,641.0,338.0,578.0,438.0,674.0,932.0,367.0,507.0,138.0,514.0,862.0,607.0,487.0,233.0,606.0,584.0,468.0,805.0,306.0,433.0,266.0,256.0,245.0,417.0,475.0,328.0,622.0,212.0,269.0,619.0,197.0,230.0,193.0,350.0,222.0,123.0,170.0,329.0,60.0,132.0,86.0,59.0,116.0,73.0,24.0,401.0,45.0,257.0,86.0,116.0,98.0,101.0,58.0,88.0,41.0,74.0,38.0,61.0,54.0,62.0,80.0,57.0,89.0,51.0,104.0,35.0,117.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222.0,109.0,385.0,196.0,550.0,61.0,568.0,545.0,342.0,1149.0,107.0,387.0,772.0,1239.0,115.0,646.0,201.0,322.0,529.0,787.0,898.0,747.0,220.0,661.0,383.0,282.0,655.0,751.0,189.0,250.0,505.0,690.0,509.0,124.0,284.0,687.0,311.0,363.0,479.0,435.0,245.0,350.0,483.0,408.0,133.0,652.0,433.0,428.0,344.0,289.0,997.0,120.0,918.0,403.0,127.0,422.0,593.0,366.0,939.0,670.0,386.0,742.0,320.0,103.0,513.0,619.0,560.0,641.0,270.0,701.0,224.0,340.0,1043.0,379.0,583.0,290.0,755.0,281.0,837.0,674.0,656.0,545.0,100.0,1096.0,224.0,988.0,263.0,177.0,489.0,273.0,179.0,179.0,152.0,248.0,363.0,229.0,155.0,64.0,47.0,111.0,96.0,103.0,80.0,113.0,47.0,122.0,136.0,100.0,63.0,71.0,50.0,89.0,92.0,63.0,118.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
