0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
292.0,260.0,163.0,289.0,742.0,389.0,139.0,354.0,289.0,509.0,630.0,512.0,651.0,847.0,289.0,1996.0,396.0,2043.0,792.0,859.0,340.0,889.0,810.0,1053.0,360.0,709.0,800.0,675.0,255.0,870.0,800.0,536.0,481.0,1075.0,925.0,842.0,394.0,1141.0,870.0,458.0,1213.0,761.0,658.0,836.0,577.0,1112.0,410.0,859.0,950.0,790.0,1226.0,756.0,952.0,502.0,1285.0,458.0,676.0,730.0,1202.0,831.0,1483.0,344.0,719.0,765.0,1303.0,264.0,1304.0,462.0,723.0,688.0,518.0,423.0,797.0,536.0,465.0,110.0,115.0,129.0,118.0,225.0,81.0,175.0,280.0,112.0,118.0,77.0,62.0,120.0,62.0,95.0,58.0,76.0,119.0,76.0,67.0,95.0,69.0,82.0,65.0,83.0,43.0,87.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379.0,200.0,620.0,130.0,206.0,470.0,239.0,497.0,302.0,546.0,331.0,939.0,1108.0,398.0,771.0,274.0,1086.0,929.0,198.0,887.0,767.0,1011.0,244.0,561.0,928.0,364.0,596.0,512.0,632.0,1070.0,702.0,734.0,719.0,347.0,1186.0,312.0,834.0,1156.0,1801.0,414.0,1042.0,891.0,647.0,1620.0,1260.0,942.0,515.0,1546.0,266.0,626.0,603.0,1064.0,588.0,1193.0,736.0,1074.0,1078.0,1073.0,402.0,473.0,949.0,554.0,464.0,1192.0,920.0,1047.0,1253.0,890.0,946.0,750.0,956.0,1719.0,1125.0,500.0,782.0,112.0,584.0,264.0,439.0,1244.0,300.0,138.0,175.0,86.0,95.0,280.0,261.0,213.0,211.0,101.0,559.0,123.0,41.0,69.0,73.0,64.0,158.0,54.0,89.0,112.0,53.0,422.0,322.0,176.0,90.0,96.0,69.0,93.0,81.0,66.0,60.0,78.0,79.0,124.0,52.0,62.0,100.0,70.0,68.0,74.0,86.0,65.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275.0,149.0,464.0,429.0,396.0,541.0,1066.0,500.0,547.0,891.0,399.0,361.0,677.0,952.0,677.0,885.0,439.0,984.0,449.0,592.0,774.0,710.0,998.0,486.0,805.0,609.0,394.0,804.0,518.0,1263.0,753.0,822.0,455.0,858.0,819.0,555.0,750.0,643.0,840.0,1162.0,877.0,715.0,702.0,532.0,1129.0,526.0,403.0,1031.0,942.0,842.0,797.0,576.0,619.0,418.0,1202.0,273.0,543.0,540.0,841.0,1231.0,1079.0,433.0,466.0,523.0,412.0,588.0,1376.0,344.0,646.0,349.0,644.0,319.0,668.0,263.0,669.0,1002.0,301.0,345.0,346.0,218.0,311.0,132.0,156.0,246.0,118.0,123.0,114.0,231.0,265.0,205.0,198.0,546.0,160.0,121.0,37.0,135.0,68.0,73.0,54.0,88.0,76.0,84.0,127.0,58.0,117.0,100.0,333.0,118.0,72.0,100.0,150.0,47.0,96.0,71.0,83.0,74.0,101.0,70.0,51.0,87.0,64.0,63.0,120.0,61.0,63.0,120.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440.0,237.0,324.0,68.0,978.0,108.0,463.0,996.0,894.0,592.0,541.0,917.0,909.0,396.0,1150.0,1424.0,493.0,630.0,645.0,203.0,1062.0,492.0,691.0,951.0,1032.0,849.0,1883.0,642.0,885.0,470.0,781.0,304.0,1388.0,716.0,604.0,298.0,1019.0,888.0,574.0,1519.0,389.0,1717.0,289.0,635.0,622.0,1092.0,696.0,513.0,561.0,887.0,958.0,513.0,632.0,953.0,672.0,1447.0,506.0,1689.0,373.0,651.0,702.0,659.0,1765.0,660.0,658.0,334.0,1002.0,920.0,667.0,1222.0,1186.0,1157.0,735.0,778.0,1380.0,188.0,302.0,78.0,325.0,1038.0,590.0,489.0,348.0,107.0,153.0,753.0,458.0,90.0,161.0,76.0,149.0,108.0,114.0,101.0,67.0,73.0,84.0,69.0,111.0,54.0,83.0,50.0,78.0,61.0,89.0,82.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356.0,100.0,517.0,252.0,270.0,311.0,743.0,428.0,1116.0,489.0,546.0,760.0,616.0,481.0,851.0,722.0,409.0,1450.0,456.0,627.0,1831.0,943.0,426.0,995.0,470.0,552.0,823.0,1119.0,344.0,1687.0,401.0,261.0,567.0,1344.0,856.0,170.0,468.0,930.0,480.0,540.0,942.0,502.0,461.0,923.0,922.0,731.0,428.0,794.0,250.0,1528.0,421.0,1051.0,378.0,733.0,406.0,1566.0,592.0,1281.0,450.0,534.0,418.0,1657.0,105.0,791.0,449.0,245.0,1038.0,455.0,634.0,896.0,720.0,864.0,452.0,442.0,1057.0,433.0,654.0,379.0,467.0,387.0,479.0,428.0,210.0,247.0,365.0,87.0,423.0,82.0,117.0,105.0,135.0,145.0,136.0,53.0,147.0,53.0,116.0,63.0,112.0,105.0,70.0,62.0,60.0,80.0,115.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283.0,264.0,424.0,332.0,646.0,522.0,438.0,224.0,550.0,567.0,224.0,749.0,693.0,561.0,291.0,1974.0,300.0,439.0,481.0,1283.0,1019.0,313.0,834.0,400.0,386.0,1261.0,516.0,258.0,761.0,994.0,413.0,459.0,723.0,540.0,1347.0,1005.0,489.0,756.0,759.0,1047.0,672.0,293.0,943.0,1137.0,1120.0,413.0,531.0,327.0,953.0,713.0,505.0,920.0,601.0,642.0,451.0,980.0,891.0,590.0,168.0,682.0,407.0,517.0,414.0,824.0,472.0,550.0,394.0,916.0,759.0,820.0,663.0,665.0,465.0,587.0,570.0,779.0,778.0,483.0,200.0,395.0,612.0,369.0,355.0,73.0,78.0,414.0,71.0,69.0,129.0,139.0,169.0,40.0,309.0,103.0,69.0,56.0,69.0,74.0,66.0,54.0,129.0,74.0,77.0,82.0,68.0,50.0,73.0,86.0,39.0,84.0,80.0,57.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,163.0,322.0,493.0,312.0,500.0,762.0,116.0,1174.0,522.0,838.0,283.0,1171.0,258.0,662.0,418.0,803.0,321.0,674.0,328.0,640.0,319.0,529.0,1200.0,420.0,525.0,389.0,1143.0,853.0,476.0,819.0,286.0,717.0,936.0,465.0,327.0,546.0,896.0,491.0,257.0,704.0,560.0,475.0,382.0,677.0,428.0,421.0,1001.0,378.0,673.0,1753.0,288.0,826.0,762.0,451.0,677.0,573.0,915.0,792.0,1374.0,263.0,737.0,1066.0,523.0,1136.0,407.0,1315.0,325.0,418.0,1843.0,330.0,713.0,577.0,310.0,533.0,880.0,367.0,530.0,730.0,232.0,604.0,675.0,978.0,242.0,368.0,155.0,583.0,201.0,135.0,68.0,91.0,152.0,71.0,68.0,66.0,69.0,118.0,109.0,57.0,85.0,130.0,69.0,100.0,58.0,85.0,67.0,77.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645.0,334.0,201.0,651.0,197.0,1021.0,401.0,467.0,643.0,1221.0,314.0,373.0,1164.0,913.0,439.0,1107.0,651.0,552.0,861.0,200.0,949.0,494.0,329.0,713.0,400.0,658.0,972.0,157.0,856.0,929.0,356.0,289.0,1120.0,186.0,811.0,296.0,1065.0,557.0,1149.0,660.0,620.0,840.0,1507.0,601.0,1023.0,1345.0,228.0,391.0,1367.0,327.0,1479.0,627.0,1384.0,571.0,876.0,2230.0,548.0,787.0,615.0,769.0,1415.0,804.0,619.0,608.0,670.0,591.0,393.0,675.0,1246.0,496.0,1160.0,622.0,775.0,177.0,823.0,411.0,1371.0,659.0,733.0,333.0,941.0,1295.0,272.0,438.0,178.0,768.0,127.0,151.0,274.0,307.0,106.0,321.0,277.0,546.0,145.0,449.0,683.0,568.0,204.0,82.0,133.0,122.0,140.0,187.0,385.0,120.0,89.0,44.0,117.0,210.0,87.0,84.0,118.0,100.0,119.0,92.0,303.0,77.0,42.0,102.0,63.0,132.0,62.0,103.0,60.0,102.0,87.0,68.0,53.0,95.0,66.0,63.0,62.0,51.0,61.0,106.0,58.0
417.0,79.0,101.0,210.0,577.0,702.0,584.0,206.0,630.0,252.0,902.0,757.0,441.0,1134.0,1126.0,509.0,894.0,355.0,862.0,373.0,411.0,1028.0,427.0,1442.0,385.0,678.0,615.0,779.0,432.0,1069.0,1303.0,510.0,827.0,520.0,1295.0,155.0,723.0,686.0,701.0,1268.0,501.0,906.0,1038.0,658.0,663.0,241.0,851.0,538.0,386.0,1805.0,383.0,670.0,1024.0,1028.0,903.0,641.0,1067.0,394.0,520.0,866.0,660.0,631.0,1024.0,424.0,941.0,1739.0,566.0,459.0,795.0,415.0,555.0,1027.0,1012.0,584.0,1341.0,455.0,587.0,618.0,790.0,472.0,883.0,737.0,864.0,379.0,639.0,212.0,517.0,323.0,173.0,330.0,417.0,191.0,78.0,112.0,140.0,89.0,192.0,184.0,242.0,330.0,184.0,105.0,83.0,70.0,55.0,84.0,59.0,71.0,158.0,68.0,93.0,66.0,84.0,106.0,69.0,107.0,43.0,93.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361.0,646.0,95.0,506.0,620.0,206.0,597.0,467.0,784.0,726.0,268.0,1135.0,823.0,593.0,375.0,1500.0,670.0,1037.0,1261.0,382.0,695.0,962.0,911.0,299.0,697.0,580.0,914.0,1149.0,355.0,417.0,992.0,727.0,521.0,1555.0,806.0,261.0,1027.0,1137.0,457.0,705.0,533.0,1073.0,404.0,926.0,833.0,262.0,855.0,231.0,742.0,911.0,324.0,976.0,468.0,571.0,405.0,689.0,942.0,689.0,717.0,356.0,726.0,419.0,594.0,971.0,479.0,824.0,384.0,958.0,995.0,681.0,1031.0,732.0,771.0,762.0,524.0,687.0,962.0,861.0,253.0,693.0,653.0,714.0,663.0,308.0,2072.0,867.0,885.0,699.0,296.0,776.0,264.0,276.0,535.0,447.0,175.0,108.0,88.0,130.0,99.0,88.0,77.0,63.0,570.0,166.0,111.0,70.0,53.0,130.0,86.0,37.0,82.0,85.0,76.0,68.0,73.0,99.0,48.0,97.0,39.0,102.0,72.0,88.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
