0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
232.0,60.0,48.0,340.0,28.0,267.0,23.0,452.0,346.0,600.0,178.0,181.0,731.0,704.0,214.0,922.0,388.0,242.0,719.0,713.0,486.0,993.0,76.0,1583.0,287.0,419.0,268.0,857.0,313.0,1050.0,762.0,698.0,1407.0,460.0,989.0,992.0,350.0,724.0,791.0,770.0,648.0,1142.0,905.0,290.0,910.0,576.0,114.0,994.0,272.0,976.0,690.0,792.0,631.0,1161.0,683.0,697.0,711.0,380.0,1141.0,1391.0,262.0,598.0,809.0,232.0,1416.0,814.0,355.0,263.0,620.0,140.0,70.0,248.0,309.0,92.0,999.0,123.0,116.0,63.0,159.0,521.0,33.0,51.0,61.0,108.0,80.0,161.0,326.0,272.0,56.0,196.0,123.0,145.0,45.0,48.0,394.0,173.0,43.0,57.0,231.0,59.0,72.0,73.0,68.0,70.0,87.0,338.0,63.0,26.0,102.0,45.0,93.0,108.0,65.0,70.0,49.0,247.0,48.0,45.0,134.0,57.0,48.0,87.0,24.0,111.0,37.0,60.0,41.0,97.0,56.0,48.0,49.0,71.0,61.0,112.0,55.0,38.0,0.0,0.0
209.0,143.0,342.0,175.0,491.0,169.0,111.0,205.0,842.0,220.0,192.0,672.0,368.0,322.0,567.0,855.0,634.0,1155.0,73.0,500.0,484.0,858.0,331.0,2020.0,361.0,1759.0,166.0,808.0,383.0,1351.0,673.0,208.0,451.0,398.0,2248.0,431.0,1097.0,708.0,1391.0,1411.0,439.0,1550.0,727.0,347.0,2068.0,1196.0,623.0,751.0,1158.0,1563.0,554.0,941.0,1418.0,1383.0,792.0,1279.0,919.0,672.0,631.0,803.0,685.0,505.0,279.0,516.0,382.0,122.0,579.0,391.0,330.0,182.0,65.0,199.0,308.0,59.0,115.0,17.0,168.0,96.0,47.0,163.0,106.0,66.0,59.0,89.0,41.0,104.0,91.0,87.0,52.0,81.0,56.0,55.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289.0,69.0,238.0,121.0,359.0,49.0,266.0,113.0,102.0,333.0,208.0,278.0,658.0,71.0,692.0,321.0,328.0,412.0,771.0,231.0,467.0,715.0,592.0,304.0,585.0,347.0,879.0,844.0,205.0,1128.0,347.0,348.0,703.0,402.0,639.0,385.0,1524.0,148.0,1626.0,677.0,833.0,883.0,391.0,852.0,548.0,371.0,819.0,270.0,1767.0,375.0,1259.0,732.0,967.0,696.0,388.0,743.0,414.0,1965.0,1965.0,1323.0,1073.0,532.0,1459.0,339.0,687.0,868.0,1208.0,645.0,175.0,169.0,1489.0,654.0,35.0,233.0,74.0,89.0,544.0,262.0,457.0,186.0,69.0,59.0,134.0,286.0,81.0,263.0,749.0,25.0,170.0,53.0,146.0,143.0,40.0,77.0,134.0,86.0,37.0,136.0,67.0,81.0,46.0,60.0,28.0,106.0,42.0,76.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209.0,70.0,212.0,55.0,114.0,121.0,323.0,175.0,146.0,85.0,493.0,434.0,73.0,649.0,82.0,104.0,645.0,143.0,229.0,494.0,1188.0,600.0,56.0,323.0,423.0,969.0,337.0,538.0,859.0,1379.0,1532.0,314.0,749.0,361.0,1264.0,1122.0,884.0,335.0,970.0,679.0,496.0,484.0,1033.0,369.0,984.0,803.0,1170.0,2181.0,561.0,1206.0,871.0,1513.0,390.0,223.0,653.0,1779.0,853.0,209.0,945.0,449.0,1219.0,648.0,1177.0,1928.0,842.0,671.0,1268.0,139.0,1596.0,612.0,540.0,486.0,1467.0,1950.0,627.0,490.0,1037.0,838.0,168.0,1145.0,1843.0,305.0,1111.0,1055.0,446.0,399.0,191.0,502.0,261.0,144.0,353.0,213.0,229.0,60.0,61.0,692.0,56.0,667.0,73.0,63.0,60.0,55.0,66.0,75.0,71.0,79.0,69.0,37.0,31.0,80.0,79.0,60.0,73.0,91.0,50.0,48.0,62.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.0,36.0,619.0,13.0,471.0,27.0,922.0,193.0,638.0,292.0,701.0,256.0,678.0,743.0,187.0,504.0,962.0,91.0,666.0,965.0,996.0,1207.0,1259.0,140.0,797.0,982.0,952.0,899.0,49.0,1461.0,843.0,874.0,715.0,770.0,135.0,1228.0,293.0,1066.0,682.0,1728.0,531.0,668.0,545.0,488.0,1091.0,122.0,1135.0,1406.0,1151.0,956.0,374.0,901.0,1999.0,588.0,979.0,415.0,643.0,973.0,821.0,775.0,640.0,302.0,1233.0,248.0,949.0,855.0,400.0,319.0,198.0,240.0,150.0,206.0,297.0,83.0,421.0,195.0,556.0,53.0,145.0,92.0,32.0,173.0,33.0,48.0,84.0,42.0,64.0,93.0,73.0,80.0,61.0,64.0,106.0,37.0,87.0,42.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.0,218.0,403.0,439.0,159.0,230.0,740.0,141.0,321.0,371.0,337.0,455.0,1003.0,740.0,227.0,951.0,630.0,907.0,583.0,168.0,1640.0,1048.0,43.0,1155.0,1008.0,1162.0,369.0,583.0,135.0,1108.0,646.0,671.0,308.0,774.0,260.0,397.0,1318.0,921.0,73.0,583.0,815.0,705.0,770.0,1442.0,138.0,929.0,1144.0,1160.0,602.0,2693.0,1671.0,1874.0,234.0,1232.0,301.0,1712.0,463.0,1803.0,2371.0,1270.0,402.0,1451.0,462.0,1476.0,676.0,989.0,1047.0,653.0,681.0,320.0,537.0,703.0,841.0,149.0,336.0,345.0,93.0,200.0,307.0,73.0,281.0,47.0,671.0,133.0,116.0,71.0,39.0,70.0,52.0,77.0,34.0,113.0,33.0,132.0,85.0,74.0,88.0,83.0,107.0,41.0,83.0,55.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232.0,72.0,79.0,403.0,153.0,307.0,112.0,559.0,145.0,641.0,120.0,354.0,116.0,853.0,777.0,298.0,509.0,566.0,1124.0,93.0,1433.0,705.0,897.0,2325.0,148.0,1230.0,1365.0,773.0,819.0,1461.0,403.0,677.0,823.0,415.0,600.0,652.0,1154.0,1076.0,721.0,660.0,993.0,305.0,1057.0,1681.0,698.0,1034.0,484.0,1322.0,478.0,1196.0,1495.0,609.0,1006.0,1148.0,1028.0,361.0,843.0,1460.0,262.0,2331.0,532.0,375.0,524.0,242.0,600.0,427.0,512.0,113.0,211.0,110.0,87.0,53.0,117.0,35.0,312.0,98.0,33.0,272.0,116.0,71.0,45.0,43.0,209.0,44.0,72.0,256.0,48.0,50.0,79.0,46.0,79.0,84.0,38.0,68.0,85.0,87.0,54.0,68.0,68.0,72.0,81.0,49.0,84.0,76.0,107.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345.0,13.0,300.0,200.0,30.0,552.0,123.0,389.0,393.0,197.0,544.0,341.0,579.0,76.0,390.0,443.0,375.0,376.0,860.0,862.0,600.0,210.0,535.0,827.0,360.0,701.0,196.0,250.0,1314.0,439.0,242.0,758.0,971.0,836.0,719.0,931.0,640.0,416.0,706.0,280.0,1035.0,417.0,176.0,821.0,262.0,731.0,259.0,451.0,459.0,856.0,57.0,651.0,146.0,1355.0,735.0,292.0,358.0,214.0,920.0,488.0,610.0,1071.0,1138.0,270.0,1124.0,340.0,296.0,1178.0,702.0,174.0,609.0,366.0,545.0,1177.0,655.0,320.0,166.0,96.0,168.0,933.0,274.0,162.0,202.0,129.0,26.0,76.0,813.0,81.0,70.0,228.0,58.0,97.0,61.0,90.0,52.0,319.0,97.0,35.0,67.0,72.0,56.0,71.0,48.0,90.0,49.0,61.0,59.0,86.0,79.0,55.0,41.0,37.0,43.0,119.0,48.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262.0,64.0,118.0,212.0,447.0,34.0,630.0,327.0,431.0,917.0,106.0,604.0,383.0,360.0,1160.0,387.0,397.0,1178.0,293.0,1009.0,354.0,128.0,563.0,860.0,543.0,210.0,1133.0,149.0,716.0,311.0,351.0,1345.0,373.0,328.0,539.0,445.0,1229.0,1137.0,597.0,893.0,696.0,1813.0,521.0,495.0,1469.0,1660.0,2293.0,728.0,2633.0,484.0,3203.0,663.0,1701.0,1002.0,327.0,649.0,1299.0,490.0,1272.0,672.0,1406.0,1470.0,1255.0,274.0,709.0,2117.0,869.0,1610.0,259.0,573.0,1513.0,837.0,209.0,136.0,252.0,104.0,279.0,64.0,245.0,109.0,44.0,31.0,351.0,181.0,150.0,47.0,80.0,22.0,122.0,75.0,70.0,101.0,44.0,81.0,133.0,172.0,144.0,97.0,36.0,152.0,50.0,50.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.0,37.0,60.0,67.0,112.0,55.0,224.0,325.0,41.0,307.0,312.0,161.0,230.0,502.0,437.0,346.0,44.0,1267.0,242.0,221.0,628.0,879.0,273.0,441.0,594.0,400.0,330.0,1133.0,240.0,915.0,125.0,548.0,71.0,743.0,308.0,982.0,333.0,407.0,1399.0,540.0,481.0,1053.0,977.0,815.0,951.0,207.0,1479.0,921.0,1087.0,259.0,326.0,1759.0,1039.0,284.0,1370.0,641.0,919.0,942.0,357.0,1322.0,538.0,1089.0,112.0,1515.0,977.0,307.0,798.0,1264.0,814.0,603.0,932.0,1056.0,231.0,339.0,133.0,405.0,742.0,131.0,733.0,467.0,292.0,385.0,162.0,90.0,149.0,99.0,376.0,155.0,504.0,269.0,486.0,75.0,180.0,130.0,295.0,409.0,961.0,46.0,284.0,124.0,383.0,81.0,234.0,63.0,30.0,99.0,351.0,141.0,72.0,40.0,103.0,100.0,94.0,108.0,40.0,87.0,65.0,93.0,59.0,80.0,87.0,45.0,69.0,31.0,92.0,46.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
