0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
183.0,44.0,331.0,481.0,160.0,118.0,373.0,48.0,488.0,183.0,110.0,331.0,500.0,256.0,433.0,321.0,441.0,440.0,376.0,874.0,266.0,244.0,787.0,335.0,771.0,373.0,765.0,163.0,249.0,960.0,420.0,1695.0,128.0,1179.0,386.0,213.0,1342.0,456.0,952.0,361.0,817.0,606.0,265.0,595.0,257.0,1112.0,490.0,61.0,715.0,140.0,438.0,457.0,386.0,190.0,386.0,780.0,153.0,782.0,272.0,513.0,1287.0,536.0,176.0,704.0,494.0,242.0,177.0,268.0,74.0,441.0,109.0,92.0,158.0,285.0,211.0,101.0,111.0,83.0,137.0,68.0,64.0,64.0,74.0,62.0,84.0,64.0,44.0,93.0,79.0,137.0,50.0,112.0,42.0,137.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458.0,23.0,467.0,236.0,569.0,564.0,119.0,299.0,299.0,449.0,647.0,214.0,763.0,343.0,458.0,1023.0,329.0,572.0,456.0,422.0,1152.0,124.0,755.0,785.0,568.0,264.0,70.0,1049.0,430.0,468.0,313.0,389.0,467.0,980.0,95.0,526.0,672.0,582.0,660.0,275.0,555.0,460.0,698.0,141.0,298.0,222.0,595.0,281.0,576.0,583.0,395.0,789.0,109.0,308.0,519.0,734.0,178.0,444.0,511.0,444.0,214.0,416.0,263.0,397.0,543.0,259.0,238.0,483.0,142.0,72.0,92.0,196.0,382.0,285.0,46.0,395.0,172.0,106.0,87.0,60.0,103.0,52.0,118.0,66.0,107.0,52.0,75.0,59.0,75.0,70.0,48.0,110.0,51.0,137.0,50.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254.0,31.0,65.0,608.0,336.0,26.0,180.0,294.0,743.0,169.0,143.0,363.0,241.0,805.0,118.0,494.0,112.0,672.0,55.0,589.0,237.0,389.0,216.0,195.0,401.0,724.0,349.0,600.0,110.0,1092.0,602.0,272.0,851.0,416.0,643.0,204.0,472.0,361.0,445.0,1147.0,17.0,973.0,61.0,888.0,983.0,614.0,219.0,1266.0,679.0,899.0,1347.0,487.0,675.0,642.0,370.0,496.0,572.0,101.0,1129.0,488.0,808.0,271.0,299.0,383.0,681.0,189.0,249.0,703.0,295.0,577.0,81.0,690.0,182.0,165.0,139.0,132.0,276.0,65.0,449.0,205.0,101.0,304.0,183.0,77.0,83.0,57.0,108.0,70.0,91.0,46.0,90.0,56.0,144.0,59.0,97.0,56.0,42.0,61.0,80.0,73.0,61.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287.0,132.0,495.0,31.0,1137.0,233.0,1136.0,182.0,302.0,268.0,966.0,103.0,430.0,294.0,281.0,456.0,248.0,643.0,310.0,225.0,301.0,225.0,402.0,521.0,85.0,913.0,125.0,608.0,781.0,108.0,858.0,543.0,123.0,313.0,417.0,133.0,628.0,190.0,1246.0,67.0,470.0,1030.0,287.0,265.0,531.0,324.0,221.0,1029.0,347.0,374.0,387.0,324.0,759.0,640.0,294.0,118.0,1262.0,88.0,515.0,649.0,486.0,491.0,132.0,285.0,655.0,488.0,322.0,319.0,838.0,214.0,493.0,303.0,350.0,201.0,554.0,252.0,381.0,203.0,594.0,129.0,409.0,243.0,728.0,133.0,109.0,118.0,56.0,56.0,44.0,183.0,136.0,127.0,132.0,52.0,141.0,29.0,133.0,41.0,133.0,48.0,88.0,41.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294.0,462.0,116.0,351.0,514.0,498.0,259.0,357.0,770.0,100.0,342.0,693.0,477.0,409.0,223.0,281.0,195.0,459.0,335.0,207.0,833.0,350.0,375.0,457.0,336.0,216.0,196.0,419.0,289.0,269.0,463.0,234.0,524.0,747.0,281.0,1046.0,387.0,118.0,1369.0,105.0,483.0,852.0,94.0,377.0,1346.0,242.0,639.0,460.0,348.0,541.0,1103.0,139.0,448.0,1059.0,398.0,930.0,773.0,212.0,1335.0,240.0,168.0,1075.0,230.0,698.0,343.0,83.0,705.0,127.0,1000.0,236.0,277.0,287.0,513.0,61.0,42.0,90.0,267.0,236.0,81.0,425.0,146.0,128.0,41.0,153.0,60.0,78.0,81.0,71.0,115.0,68.0,70.0,116.0,80.0,54.0,87.0,40.0,59.0,57.0,61.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326.0,67.0,46.0,89.0,41.0,586.0,83.0,118.0,86.0,364.0,30.0,468.0,113.0,323.0,177.0,502.0,210.0,161.0,783.0,299.0,119.0,356.0,387.0,197.0,280.0,282.0,390.0,283.0,1130.0,1063.0,350.0,273.0,669.0,270.0,810.0,344.0,766.0,252.0,477.0,540.0,150.0,442.0,44.0,873.0,425.0,443.0,870.0,321.0,337.0,901.0,461.0,835.0,399.0,264.0,689.0,503.0,831.0,88.0,504.0,203.0,452.0,591.0,111.0,429.0,572.0,399.0,498.0,1019.0,852.0,818.0,141.0,629.0,267.0,666.0,445.0,247.0,827.0,148.0,261.0,188.0,178.0,193.0,968.0,83.0,149.0,56.0,212.0,66.0,114.0,124.0,218.0,58.0,144.0,200.0,64.0,125.0,88.0,107.0,68.0,139.0,47.0,134.0,73.0,108.0,30.0,76.0,46.0,81.0,61.0,82.0,78.0,42.0,89.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211.0,376.0,77.0,271.0,180.0,297.0,395.0,350.0,604.0,73.0,501.0,368.0,1840.0,299.0,96.0,542.0,141.0,333.0,474.0,271.0,868.0,108.0,354.0,1000.0,631.0,127.0,969.0,511.0,445.0,876.0,225.0,250.0,607.0,855.0,208.0,266.0,1269.0,1080.0,338.0,1069.0,524.0,595.0,623.0,777.0,453.0,94.0,1069.0,441.0,615.0,285.0,341.0,564.0,588.0,147.0,723.0,123.0,1663.0,464.0,458.0,826.0,366.0,151.0,1120.0,913.0,187.0,1212.0,516.0,228.0,260.0,1110.0,817.0,116.0,474.0,366.0,578.0,44.0,136.0,55.0,125.0,355.0,65.0,417.0,122.0,303.0,358.0,65.0,64.0,186.0,132.0,183.0,54.0,129.0,641.0,63.0,67.0,84.0,49.0,69.0,78.0,43.0,216.0,52.0,78.0,47.0,376.0,44.0,101.0,52.0,86.0,41.0,55.0,60.0,46.0,107.0,34.0,133.0,69.0,90.0,58.0,109.0,69.0,95.0,50.0,66.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280.0,30.0,166.0,407.0,296.0,43.0,1174.0,15.0,644.0,567.0,866.0,550.0,43.0,847.0,148.0,1436.0,217.0,840.0,413.0,641.0,162.0,353.0,162.0,315.0,353.0,306.0,169.0,708.0,68.0,1007.0,320.0,229.0,230.0,555.0,925.0,158.0,275.0,773.0,371.0,918.0,534.0,552.0,512.0,312.0,326.0,916.0,135.0,1397.0,332.0,328.0,358.0,912.0,438.0,612.0,466.0,867.0,213.0,150.0,1090.0,315.0,395.0,449.0,1004.0,289.0,756.0,657.0,471.0,305.0,409.0,296.0,588.0,218.0,689.0,560.0,793.0,176.0,124.0,730.0,430.0,425.0,232.0,613.0,473.0,111.0,101.0,142.0,196.0,102.0,557.0,70.0,342.0,150.0,105.0,90.0,50.0,200.0,44.0,93.0,64.0,94.0,107.0,44.0,119.0,57.0,107.0,34.0,112.0,134.0,84.0,54.0,115.0,79.0,60.0,69.0,62.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279.0,39.0,83.0,294.0,236.0,44.0,287.0,247.0,613.0,81.0,422.0,193.0,210.0,289.0,610.0,130.0,325.0,352.0,383.0,287.0,344.0,396.0,310.0,685.0,52.0,425.0,372.0,321.0,296.0,604.0,452.0,464.0,157.0,759.0,177.0,389.0,191.0,182.0,730.0,397.0,608.0,367.0,191.0,70.0,188.0,746.0,185.0,306.0,562.0,534.0,644.0,900.0,128.0,999.0,111.0,503.0,841.0,266.0,351.0,1247.0,304.0,614.0,376.0,508.0,296.0,456.0,854.0,680.0,419.0,153.0,197.0,536.0,559.0,287.0,521.0,388.0,369.0,391.0,162.0,68.0,70.0,109.0,153.0,365.0,45.0,77.0,62.0,273.0,130.0,101.0,74.0,64.0,54.0,57.0,73.0,47.0,109.0,46.0,114.0,70.0,104.0,71.0,94.0,70.0,112.0,48.0,88.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206.0,195.0,190.0,275.0,234.0,32.0,226.0,267.0,343.0,349.0,844.0,249.0,333.0,405.0,140.0,208.0,1158.0,137.0,146.0,158.0,271.0,266.0,533.0,105.0,622.0,362.0,187.0,698.0,156.0,178.0,220.0,394.0,419.0,299.0,449.0,118.0,898.0,109.0,409.0,370.0,320.0,487.0,1129.0,427.0,245.0,277.0,861.0,288.0,170.0,306.0,415.0,1221.0,273.0,265.0,290.0,170.0,1330.0,136.0,1145.0,281.0,573.0,59.0,218.0,443.0,380.0,603.0,398.0,478.0,570.0,494.0,486.0,481.0,405.0,169.0,246.0,177.0,970.0,234.0,578.0,351.0,87.0,338.0,954.0,198.0,379.0,135.0,555.0,79.0,208.0,288.0,75.0,84.0,214.0,55.0,76.0,56.0,413.0,29.0,103.0,60.0,98.0,62.0,99.0,72.0,99.0,71.0,122.0,31.0,91.0,54.0,68.0,61.0,53.0,88.0,44.0,92.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
